Calopogon tuberosus
Chamorchis alpina
Cypripedium acaule
Cypripedium calceolus
Dactylorhiza elata
Dactylorhiza sambucina
Epipactis muelleri
Epipactis palustris
Epipactis purpurata
Gymnadenia odoratissima
Neottia nidus-avis
Ophrys insectifera
Caladenia catenata
Platanthera hyperborea
Pogonia ophioglossoides
Pterostylis mutica
Spiranthes romanzoffiana
Acianthera saundersiana
Brachionidium pteroglossum
Oeceoclades maculata
Oeonia brauniana
Oligophyton drummondii
Oncidium dactyliferum
Oncidium ensatum
Oncidium hastilabium
Oncidium planilabre
Ophrys argolica
Ophrys atlantica
Ophrys bertolonii
Ophrys kotschyi
Ophrys lunulata
Orchis brancifortii
Orchis laeta
Orchis pauciflora
Orchis quadripunctata
Orchis sitiaca
Oreorchis oligantha
Brachycorythis disoides
Orleanesia amazonica
Pachyplectron arifolium
Palmorchis imuyaensis
Palmorchis trilobulata
Panisea yunnanensis
Paphiopedilum appletonianum
Paphiopedilum armeniacum
Paphiopedilum barbigerum
Paphiopedilum bellatulum
Paphiopedilum bullenianum
Paphiopedilum concolor
Paphiopedilum dianthum
Paphiopedilum emersonii
Paphiopedilum glanduliferum
Paphiopedilum godefroyae
Paphiopedilum gratrixianum
Paphiopedilum hangianum
Paphiopedilum haynaldianum
Paphiopedilum helenae
Paphiopedilum henryanum
Paphiopedilum hirsutissimum
Paphiopedilum hookerae
Paphiopedilum insigne
Paphiopedilum javanicum
Paphiopedilum lowii
Paphiopedilum malipoense
Paphiopedilum micranthum
Paphiopedilum niveum
Paphiopedilum parishii
Paphiopedilum purpuratum
Paphiopedilum rothschildianum
Paphiopedilum sanderianum
Paphiopedilum schoseri
Paphiopedilum stonei
Paphiopedilum supardii
Paphiopedilum tonsum
Paphiopedilum victoria-regina
Paphiopedilum vietnamense
Paphiopedilum villosum
Paphiopedilum violascens
Paphiopedilum wilhelminae
Pedilochilus papuanus
Pelexia orthosepala
Peristylus aristatus
Phalaenopsis violacea
Pholidota camelostalix
Pholidota chinensis
Pholidota globosa
Phragmipedium besseae
Phragmipedium boissierianum
Phragmipedium caricinum
Phragmipedium caudatum
Phragmipedium hirtzii
Phragmipedium humboldtii
Phragmipedium klotzschianum
Phragmipedium lindenii
Phragmipedium lindleyanum
Phragmipedium longifolium
Phragmipedium pearcei
Phragmipedium sargentianum
Phragmipedium schlimii
Phragmipedium vittatum
Phragmipedium warszewiczianum
Phreatia plantaginifolia
Physoceras boryanum
Pinalia fitzalanii
Platanthera algeriensis
Platanthera blephariglottis
Platanthera chapmanii
Platanthera clavellata
Platanthera finetiana
Platanthera huronensis
Platanthera integrilabia
Platanthera leucophaea
Platanthera micrantha
Platanthera oreophila
Platanthera praeclara
Platanthera yadonii
Platycoryne mediocris
Platylepis grandiflora
Platystele minimiflora
Pleione chunii
Pleione formosana
Pleione forrestii
Brassia lanceana
Brassia maculata
Brassia verrucosa
Brassia wageneri
Pleurothallis rowleei
Bromheadia finlaysoniana
Plocoglottis borneensis
Plocoglottis copelandii
Podochilus khasianus
Polystachya acuminata
Polystachya albescens
Polystachya bicalcarata
Polystachya caespitifica
Polystachya canaliculata
Polystachya caudata
Polystachya cooperi
Broughtonia negrilensis
Polystachya disiformis
Polystachya doggettii
Polystachya eurygnatha
Polystachya fischeri
Polystachya geniculata
Polystachya gracilenta
Polystachya holstii
Polystachya isochiloides
Polystachya kupensis
Polystachya lacroixiana
Polystachya laurentii
Polystachya longiscapa
Polystachya maculata
Polystachya mazumbaiensis
Polystachya modesta
Polystachya nyanzensis
Polystachya porphyrochila
Polystachya praecipitis
Polystachya pudorina
Polystachya rugosilabia
Polystachya serpentina
Polystachya shega
Bryobium eriaeoides
Polystachya stauroglossa
Polystachya subdiphylla
Polystachya subumbellata
Polystachya superposita
Polystachya teitensis
Polystachya tenella
Polystachya testuana
Polystachya uluguruensis
Polystachya undulata
Polystachya valentina
Polystachya victoriae
Polystachya woosnamii
Polystachya xerophila
Pomatocalpa maculosum
Porroglossum muscosum
Prasophyllum favonium
Prasophyllum giganteum
Prasophyllum mimulum
Bulbophyllum aggregatum
Prescottia lojana
Bulbophyllum alveatum
Psychilis macconnelliae
Psychilis olivacea
Pterostylis acuminata
Bulbophyllum analamazoatrae
Pterostylis erecta
Bulbophyllum anjozorobeense
Pterostylis hispidula
Pterostylis humilis
Bulbophyllum ankylochele
Bulbophyllum ankylorhinon
Pterostylis praetermissa
Bulbophyllum antennatum
Pterostylis squamata
Restrepia trichoglossa
Rhipidoglossum bilobatum
Rhipidoglossum globulosocalcaratum
Rhipidoglossum polydactylum
