names	labels
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	2
sp.	1
sp.	3
sp.	2
sp.	1
sp.	2
sp.	2
sp.	3
sp.	0
sp.	4
sp.	4
sp.	3
sp.	2
sp.	3
sp.	2
sp.	3
sp.	0
sp.	2
sp.	2
sp.	3
sp.	3
sp.	3
sp.	3
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	2
sp.	0
sp.	3
sp.	1
sp.	2
sp.	2
sp.	3
sp.	2
sp.	3
sp.	1
sp.	3
sp.	3
sp.	3
sp.	3
sp.	0
sp.	1
sp.	0
sp.	3
sp.	0
sp.	3
sp.	3
sp.	4
sp.	3
sp.	2
sp.	2
sp.	0
sp.	3
sp.	2
sp.	0
sp.	3
sp.	3
sp.	4
sp.	3
sp.	3
sp.	1
sp.	4
sp.	4
sp.	3
sp.	0
sp.	4
sp.	3
sp.	3
sp.	2
sp.	2
sp.	2
sp.	4
sp.	4
sp.	3
sp.	3
sp.	4
sp.	2
sp.	4
sp.	0
sp.	3
sp.	4
sp.	2
sp.	3
sp.	2
sp.	0
sp.	0
sp.	1
sp.	0
sp.	1
sp.	0
sp.	2
sp.	0
sp.	3
sp.	3
sp.	1
sp.	3
sp.	1
sp.	3
sp.	3
sp.	2
sp.	3
sp.	3
sp.	3
sp.	0
sp.	3
sp.	4
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	0
sp.	2
sp.	2
sp.	1
sp.	3
sp.	0
sp.	0
sp.	0
sp.	2
sp.	3
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	3
sp.	0
sp.	0
sp.	1
sp.	3
sp.	0
sp.	3
sp.	0
sp.	2
sp.	2
sp.	3
sp.	0
sp.	0
sp.	4
sp.	0
sp.	3
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	4
sp.	2
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	2
sp.	4
sp.	2
sp.	3
sp.	0
sp.	0
sp.	4
sp.	3
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	0
sp.	1
sp.	0
sp.	0
sp.	0
sp.	3
sp.	0
sp.	4
sp.	0
sp.	0
sp.	1
sp.	4
sp.	2
sp.	0
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	3
sp.	1
sp.	0
sp.	2
sp.	0
sp.	0
sp.	1
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	2
sp.	2
sp.	4
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	0
sp.	3
sp.	4
sp.	1
sp.	2
sp.	3
sp.	3
sp.	0
sp.	0
sp.	1
sp.	4
sp.	0
sp.	3
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	4
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	1
sp.	0
sp.	3
sp.	0
sp.	2
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	4
sp.	0
sp.	3
sp.	3
sp.	3
sp.	4
sp.	3
sp.	0
sp.	0
sp.	4
sp.	3
sp.	3
sp.	4
sp.	1
sp.	3
sp.	3
sp.	4
sp.	1
sp.	0
sp.	0
sp.	4
sp.	3
sp.	4
sp.	4
sp.	0
sp.	4
sp.	4
sp.	4
sp.	3
sp.	0
sp.	4
sp.	0
sp.	4
sp.	0
sp.	3
sp.	2
sp.	4
sp.	3
sp.	3
sp.	4
sp.	3
sp.	4
sp.	2
sp.	3
sp.	0
sp.	1
sp.	2
sp.	0
sp.	3
sp.	3
sp.	2
sp.	2
sp.	2
sp.	3
sp.	3
sp.	3
sp.	2
sp.	3
sp.	2
sp.	3
sp.	3
sp.	3
sp.	0
sp.	2
sp.	3
sp.	2
sp.	3
sp.	2
sp.	3
sp.	0
sp.	3
sp.	1
sp.	2
sp.	2
sp.	2
sp.	2
sp.	0
sp.	4
sp.	1
sp.	4
sp.	0
sp.	3
sp.	3
sp.	0
sp.	0
sp.	3
sp.	1
sp.	0
sp.	1
sp.	1
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	1
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	1
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	1
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	2
sp.	0
sp.	1
sp.	0
sp.	2
sp.	0
sp.	2
sp.	3
sp.	2
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	1
sp.	0
sp.	0
sp.	2
sp.	4
sp.	4
sp.	4
sp.	0
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	2
sp.	3
sp.	4
sp.	1
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	3
sp.	0
sp.	3
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	3
sp.	3
sp.	3
sp.	4
sp.	0
sp.	4
sp.	4
sp.	0
sp.	0
sp.	0
sp.	0
sp.	4
sp.	4
sp.	2
sp.	3
sp.	4
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	1
sp.	2
sp.	0
sp.	4
sp.	4
sp.	4
sp.	4
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	3
sp.	2
sp.	0
sp.	2
sp.	2
sp.	0
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	1
sp.	2
sp.	4
sp.	1
sp.	0
sp.	3
sp.	2
sp.	2
sp.	0
sp.	2
sp.	0
sp.	0
sp.	3
sp.	2
sp.	0
sp.	2
sp.	0
sp.	2
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	2
sp.	3
sp.	2
sp.	2
sp.	0
sp.	4
sp.	3
sp.	0
sp.	3
sp.	3
sp.	0
sp.	2
sp.	0
sp.	1
sp.	2
sp.	3
sp.	0
sp.	1
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	4
sp.	3
sp.	3
sp.	2
sp.	4
sp.	2
sp.	2
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	0
sp.	4
sp.	0
sp.	0
sp.	0
sp.	2
sp.	1
sp.	2
sp.	0
sp.	0
sp.	0
sp.	3
sp.	4
sp.	3
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	0
sp.	0
sp.	1
sp.	0
sp.	0
sp.	1
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	1
sp.	0
sp.	0
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	4
sp.	3
sp.	3
sp.	4
sp.	4
sp.	3
sp.	4
sp.	4
sp.	2
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	4
sp.	3
sp.	3
sp.	4
sp.	4
sp.	4
sp.	4
sp.	4
sp.	4
sp.	3
sp.	4
sp.	4
sp.	2
sp.	3
sp.	3
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	1
sp.	0
sp.	3
sp.	0
sp.	1
sp.	3
sp.	3
sp.	2
sp.	0
sp.	2
sp.	0
sp.	0
sp.	3
sp.	3
sp.	0
sp.	2
sp.	0
sp.	3
sp.	0
sp.	1
sp.	0
sp.	2
sp.	0
sp.	2
sp.	0
sp.	0
sp.	1
sp.	0
sp.	3
sp.	2
sp.	3
sp.	0
sp.	2
sp.	0
sp.	0
sp.	0
sp.	2
sp.	2
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	4
sp.	0
sp.	2
sp.	0
sp.	4
sp.	3
sp.	3
sp.	3
sp.	0
sp.	3
sp.	3
sp.	3
sp.	2
sp.	3
sp.	3
sp.	4
sp.	4
sp.	2
sp.	3
sp.	4
sp.	3
sp.	0
sp.	2
sp.	4
sp.	3
sp.	3
sp.	4
sp.	3
sp.	3
sp.	2
sp.	3
sp.	0
sp.	3
sp.	3
sp.	0
sp.	1
sp.	3
sp.	3
sp.	0
sp.	4
sp.	2
sp.	3
sp.	0
sp.	0
sp.	4
sp.	0
sp.	0
sp.	0
sp.	1
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	3
sp.	2
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	2
sp.	3
sp.	3
sp.	1
sp.	3
sp.	1
sp.	1
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	0
sp.	0
sp.	1
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	0
sp.	1
sp.	0
sp.	0
sp.	0
sp.	2
sp.	0
sp.	3
sp.	0
sp.	0
sp.	0
sp.	0
sp.	3
sp.	3
sp.	0
sp.	3
sp.	0
sp.	4
sp.	0
sp.	3
sp.	3
sp.	0
sp.	4
sp.	4
sp.	3
sp.	4
sp.	3
sp.	0
sp.	3
sp.	0
sp.	4
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	3
sp.	0
sp.	0
sp.	1
sp.	0
sp.	0
