species	tot_occ	uni_occ	mean_lat	mean_lon	lat_range	lon_range	lat_hemisphere	eoo	aoo	1	2	7	10	13	3	4	5	6	11	98	8	12	9	14	99	bio1	bio4	bio11	bio12	bio15	bio17	range_bio1	range_bio4	range_bio11	range_bio12	range_bio15	range_bio17	humanfootprint_1993_1	humanfootprint_1993_2	humanfootprint_1993_3	humanfootprint_1993_4	humanfootprint_2009_1	humanfootprint_2009_2	humanfootprint_2009_3	humanfootprint_2009_4
Acianthera chrysantha	0.3010300	0.3010300	0.1918555556	-0.542666667	0.000000e+00	0.0000000000	1	0.69897000	0.6989700	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	 1.10666667	3.136403	  9.73333333	3.034628	1.9637878	1.5910646	 0.0000000	0.0000000	 0.00000000	0.0000000	0.0000000	0.0000000	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
Acianthera hondurensis	0.4771213	0.4771213	0.1795000000	-0.500333333	3.382569e-02	0.4554539688	1	0.95424251	0.9542425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.65333333	3.147676	 15.16666667	3.485579	1.8325089	2.3384565	 0.8400000	1.0000000	 0.78000000	2.6728365	0.6627578	0.6627578	0.00	0.50	0.00	0.50	0.00	0.50	0.50	0.00
Acianthera malachantha	0.4771213	0.4771213	0.2265222222	-0.241961111	6.875712e-02	0.0947540441	0	0.95424251	0.9542425	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.28000000	3.297104	 10.90000000	3.159868	1.9216865	1.6532125	 0.7200000	2.1277525	 0.66000000	2.0515384	0.2787536	1.0000000	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00
Acianthera saundersiana	1.8692317	1.8692317	0.2731444444	-0.265222222	1.217000e+00	1.1164151242	0	6.26450081	2.4487063	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	 1.22666667	3.456973	  9.73333333	3.178689	1.4149733	2.4345689	 4.2266667	3.3002476	 5.42666667	2.8621314	1.8692317	2.5317343	0.00	0.32	0.32	0.36	0.00	0.36	0.28	0.36
Aerangis gracillima	0.7781513	0.7781513	0.0307333333	 0.061505556	7.878754e-01	0.5815264159	1	5.11669707	1.3222193	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.57333333	2.943495	 14.73333333	3.261739	1.8129134	1.8061800	 4.4800000	2.4415380	 4.33333333	2.9916690	1.2041200	2.1258065	0.25	0.00	0.25	0.50	0.40	0.20	0.40	0.00
Aerangis hyaloides	1.2304489	1.2304489	0.1953444444	 0.270444444	8.786711e-01	0.3437334545	0	4.79592865	1.8129134	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.34000000	3.390140	 11.10000000	3.220239	1.8864907	2.1461280	 2.8333333	3.1115145	 3.65000000	3.1194209	1.7726884	2.4078156	0.00	0.50	0.25	0.25	0.00	0.44	0.38	0.19
Aerangis macrocentra	1.6627578	1.6627578	0.2081111111	 0.267983333	9.432590e-01	0.4610150414	0	5.12699626	2.1492191	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 1.28666667	3.411283	 10.53333333	3.220370	1.8864907	2.1461280	 2.8400000	2.9344985	 3.08000000	2.9258276	1.5587086	2.2284004	0.00	0.51	0.22	0.27	0.00	0.36	0.38	0.27
Aerangis monantha	1.0413927	1.0413927	0.2110000000	 0.265994444	5.557339e-01	0.3569985815	0	4.46909177	1.5185139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.26333333	3.409003	 10.40000000	3.203305	1.9242793	2.0588055	 1.5800000	2.6863234	 1.57333333	2.6034150	1.5185139	2.0969100	0.00	0.60	0.20	0.20	0.00	0.20	0.60	0.20
Aerangis pallidiflora	1.3424227	1.3424227	0.2144111111	 0.266772222	8.342681e-01	0.3362395288	0	4.87087007	1.8388491	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.27333333	3.407901	 10.40000000	3.211121	1.9030900	2.1105897	 4.1333333	2.8762178	 4.73333333	2.6937269	1.4913617	2.1205739	0.00	0.52	0.33	0.14	0.00	0.14	0.71	0.14
Aerangis punctata	1.3222193	1.3222193	0.2161888889	 0.272105556	6.544956e-01	1.0013249636	0	5.70264381	1.8864907	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 1.22333333	3.397940	  9.93333333	3.212454	1.9030900	2.1238516	 1.9133333	2.7113432	 1.72666667	2.7250127	1.7024305	2.1985196	0.00	0.50	0.20	0.30	0.00	0.40	0.25	0.35
