feature_block	feat_imp_mean	feat_imp_std
range_bio11	0.032	0.009
lon_range	0.03	0.011
bio11	0.021	0.008
lat_hemisphere	0.021	0.009
range_bio1	0.02	0.01
eoo	0.014	0.009
range_bio12	0.012	0.009
range_bio4	0.008	0.01
1	0.007	0.008
3	0.005	0.009
range_bio17	0.004	0.007
bio17	0.003	0.009
lat_range	0.003	0.009
mean_lon	0.003	0.008
5	0.003	0.008
uni_occ	0.002	0.009
range_bio15	0.001	0.008
12	0.001	0.008
10	0.001	0.009
bio4	0	0.008
aoo	-0.003	0.009
bio15	-0.003	0.009
humanfootprint_1993_4	-0.003	0.009
humanfootprint_2009_4	-0.004	0.007
4	-0.004	0.008
humanfootprint_1993_2	-0.004	0.009
13	-0.005	0.008
14	-0.005	0.009
humanfootprint_1993_1	-0.005	0.009
humanfootprint_2009_2	-0.005	0.007
humanfootprint_2009_3	-0.005	0.007
tot_occ	-0.006	0.008
mean_lat	-0.006	0.009
7	-0.006	0.008
6	-0.006	0.009
2	-0.006	0.009
bio1	-0.006	0.009
9	-0.007	0.009
humanfootprint_1993_3	-0.007	0.008
8	-0.007	0.007
99	-0.008	0.008
98	-0.008	0.008
bio12	-0.008	0.008
humanfootprint_2009_1	-0.009	0.008
11	-0.009	0.008
