species,X1...2,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52
Calopogon tuberosus,7568510,3580,1078,573,734,41.806,17.761,-81.229,30.312,1,6.694995169217388,10.778708159923553,27.573140920426702,985.0128704007094,24.339749336242676,-12.214624881744385,37.31999969482422,16.967541615168255,-2.9929338991642,18.82683340708415,-5.154291717956463,1035.5,110,60,19.92653698201915,315,197,294,218,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,28,1,1,1,1,1,1
Chamorchis alpina,3288198,4644,1542,291,646,63.861,24.338,15.293,17.996,1,-0.1567604293425878,6.594625028471152,24.78986145862602,708.9279064765856,13.402250289916992,-12.605999946594238,25.52299976348877,7.847124874591827,-2.469916741053263,9.360541741053263,-8.01212509473165,769,93,39.5,26.325636876841813,253,133,226,191,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,15,1,1,1,1,1,1
Cypripedium acaule,6115393,13172,4272,1497,2314,43.556,12.724,-77.114,28.368,1,6.421000037963192,10.961146006981531,28.102988576226302,974.7183099721587,24.251749992370605,-13.329750061035156,37.78575134277344,15.312875111897787,-3.180416683355967,18.51091504096985,-5.806266933679581,1107,112,70,15.323237735742104,316,230,294,245,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,28,1,1,1,1,1,1
Cypripedium calceolus,11855592,9596,3168,830,1463,54.82,22.522,18.602,48.096,1,5.599510410179694,7.960625151482721,28.322951844735755,701.6066510802143,19.46862506866455,-7.64573335647583,27.02299976348877,13.083729028701782,0.04250001907348633,15.395750204722086,-2.5104791273673372,815,91,46,28.50107237302243,254,152,240,178,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,32,1,1,1,1,1,1
Dactylorhiza elata,2123876,4388,1268,435,731,41.751,10.414,-2.004,10.64,1,11.197333313524723,10.263291684289774,39.20351228120617,600.633802577716,23.94487476348877,-2.725124955177307,26.58112570643425,8.308854172627132,18.071916580200195,18.612833340962727,4.383500039577484,659,78,28,29.574715514113077,212,102,116,193,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,28,1,1,1,1,1,1
Dactylorhiza sambucina,5154451,11776,4429,710,1657,52.168,17.64,11.539,19.651,1,7.246168579285343,7.741507868282497,29.832399934224725,665.3136317273379,19.700990676879883,-5.958080530166626,25.78333842754364,13.41212526957194,1.9755075375239055,15.751645565032959,-0.3603174090385437,644,78,34,23.16724827750796,208,113,185,144,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,34,1,1,1,1,1,1
Epipactis muelleri,1807420,8724,2328,673,1413,48.038,6.986,6.672,10.655,1,9.21230208221823,8.28426044806838,32.615837464936526,634.0155247238422,21.28337574005127,-4.100749969482422,25.590749740600586,11.156958242257435,5.5033750633398695,17.19083325068156,1.747312530875206,817,86,51,14.555386886110096,237.5,167,206,202,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,40,1,1,1,1,1,1
Epipactis palustris,16469558,35392,14662,2329,4869,52.138,15.44,10.779,19.325,1,8.146499985828996,7.805630029489596,30.260167367574233,654.7153339589213,19.95574951171875,-5.599341869354248,25.536499500274658,14.054208517074585,3.331791559855143,16.131624857584637,0.08137494325637817,748,81,42,22.888638668302825,226,141,200,167,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,40,1,1,1,1,1,1
Epipactis purpurata,2005577,13988,4120,1086,1782,49.435,5.08,8.413,11.707,1,8.522557330007356,8.13670832167069,31.055525191342827,659.8337947083469,20.832500457763672,-5.339250087738037,26.074750423431396,15.264333407084147,4.039104188481966,16.781958262125652,0.5562916994094849,789,86,50,15.505508673641598,241,162,218,184.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,40,1,1,1,1,1,1
Gymnadenia odoratissima,2750912,6540,2051,523,994,47.659,6.889,8.725,14,1,7.782291675607364,8.131874891618887,32.09577988530695,644.7663427943907,20.140249252319336,-5.802499771118164,25.383249759674072,13.513041814168295,1.438666711250941,15.918416500091553,-0.22452688217163086,1101,123,61,24.563124602288628,349,204,294,217,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,34,1,1,1,1,1,1
Neottia nidus-avis,16055267,58960,19846,3046,6783,51.348,16.363,10.083,20.573,1,8.206583373248577,7.919416593387723,30.730224589763075,656.2421769185447,20.366374969482422,-5.5017499923706055,25.739749431610107,14.150420983632406,3.81487500667572,16.383458614349365,0.28975003957748413,762,82,47,19.776036300363987,227,152,204,180,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,40,1,1,1,1,1,1
Ophrys insectifera,6890658,29404,10780,1296,3714,50.957,16.676,8.95,17.208,1,8.319562549392382,7.983916759490967,31.23659167287263,650.5104928043559,20.486499786376953,-5.237500190734863,25.41652202606201,13.978888988494873,4.081625034411748,16.474583466847736,0.44837506612141925,741,80,46,18.903737479255895,218,149,193,181,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,40,1,1,1,1,1,1
