species	1998	1978	2004	2013	2009	2016	2020	2019	2017	2000	2018	2003	2015	2014	2006	2011	2008	2010	2012	1997
Dracaena draco	V	V																		
Dracaena ombet	EN	V																		
Dracaena cinnabari	EN		VU																	
Dracaena concinna	E																			
Dracaena floribunda	EN																			
Aloe eminens	LR/nt			EN																
Aloe ballyi	I				EN															
Aloe comosa	DD																			
Aloe khamiesensis	DD																			
Aloidendron pillansii	CR																			
Aloidendron ramosissimum	V																			
Chrysodracon fernaldii	EN					EN														
Chrysodracon auwahiensis	V					VU														
Chrysodracon forbesii	E					EN														
Chrysodracon halapepe	V					VU														
Chrysodracon hawaiiensis	E					EN	EN													
Dracaena serrulata	EN																			
Dracaena umbraculifera	E							CR												
Aloe ballii	E								VU											
Dracaena americana								LC												
Aloe helenae	CR					EN														
Aloe suzannae	CR					EN														
Chlorophytum petrophilum										CR										
Dracaena bueana									DD	DD										
Angraecopsis cryptantha										VU	VU									
Angraecopsis tridens			VU							EN	NT									
Barombia gracillima										LR/nt										
Bulbophyllum filiforme										CR										
Bulbophyllum gravidum										VU										
Bulbophyllum modicum										EN										
Bulbophyllum porphyrostachys										LR/nt										
Kylicanthe bueae										EN										
Disperis kamerunensis							CR			EN										
Gastrodia africana							EN			CR										
Genyorchis macrantha							EN			VU										
Bulbophyllum platybulbon										CR										
Habenaria microceras										LR/nt										
Habenaria obovata							EN			VU										
Liparis goodyeroides										CR										
Polystachya bicalcarata			VU							EN										
Polystachya superposita										EN										
Polystachya victoriae										CR										
Aloe peglerae	R									EN		EN								
Gladiolus pole-evansii										VU		VU								
Kniphofia reflexa										EN										
Disperis nitida			EN							EN										
Habenaria maitlandii							EN			CR										
Eulophia coddii	I									EN		EN								
Habenaria mossii										EN		EN								
Eucharis astrophiala												EN								
Eucrosia aurantiaca												EN								
Eucrosia dodsonii												VU								
Eucrosia stricklandii												VU								
Pamianthe parviflora												VU								
Phaedranassa brevifolia												EN								
Phaedranassa cinerea												VU								
Phaedranassa glauciflora												EN								
Phaedranassa schizantha												VU								
Phaedranassa tunguraguae												EN								
Phaedranassa viridiflora												EN								
Astelia waialealae						CR						CR								
Trachyandra erythrorrhiza	I											VU								
Anoectochilus sandvicensis												VU								
Aloe perryi			NT																	
Aloe jawiyon			NT																	
Aloe squarrosa	E	E	VU																	
Crinum balfourii			LC																	
Chlorophytum graptophyllum			LC																	
Chlorophytum sp. nov.			EN																	
Asparagus sp. nov. A			DD																	
Dipcadi guichardii			LC																	
Dipcadi kuriensis			VU																	
Drimia porphyrostachys			DD																	
Ledebouria grandifolia			LC																	
Ledebouria insularis			EN																	
Babiana socotrana			LC																	
Holothrix socotrana			VU																	
Dracaena viridiflora			VU																	
Aerides lawrenciae			EN																	
Aerides leeanum			VU																	
Amesiella monticola			CR																	
Amesiella philippensis			EN																	
Ascoglossum calopterum			CR																	
Ceratocentron fesselii			CR																	
Dendrobium sanderae			VU																	
Dendrobium schuetzei			CR																	
Epigeneium treacherianum			VU																	
Gastrochilus calceolaris			CR																	
Paphiopedilum adductum			CR										CR							
Paphiopedilum ciliolare			EN										EN							
Paphiopedilum fowliei			CR										CR							
Paphiopedilum urbanianum			CR										CR							
Angraecum pyriforme			VU																	
Angraecum sanfordii			EN								EN									
Bulbophyllum bifarium			VU								VU									
Bulbophyllum jaapii			VU								CR									
Bulbophyllum kupense			CR																	
Bulbophyllum nigericum			VU																	
Bulbophyllum pandanetorum			EN				EN													
Rhipidoglossum polydactylum			VU																	
Disperis mildbraedii			VU				EN													
Bulbophyllum micropetalum			EN				EN													
Habenaria batesii			EN																	
Habenaria nigrescens			VU																	
Habenaria thomana			VU																	
Manniella cypripedioides			EN				EN													
Ossiculum aurantiacum			CR								EN									
Polystachya cooperi			EN																	
Polystachya farinosa			EN				EN													
Polystachya geniculata			EN				EN													
Polystachya kupensis			CR				CR													
Phalaenopsis lindenii			EN																	
Phalaenopsis micholitzii			CR																	
Vanda javierae			EN																	
Vanda scandens			EN																	
Acanthophippium sinense			EN																	
Amitostigma bifoliatum			EN																	
Amitostigma capitatum			EN																	
Amitostigma hemipilioides			EN																	
Amitostigma simplex			EN																	
Amitostigma tetralobum			EN																	
Amitostigma yuanum			EN																	
Anoectochilus zhejiangensis			EN																	
Bulbophyllum rubrolabellum			EN																	
Bulbophyllum tokioi			EN																	
Bulleyia yunnanensis			EN																	
Calanthe delavayi			VU																	
Calanthe fargesii			VU																	
Calanthe henryi			VU																	
Calanthe yuana			EN																	
Changnienia amoena			EN																	
Cheirostylis inabai			EN																	
Cymbidium defoliatum			EN																	
Cymbidium nanulum			EN																	
Cypripedium fargesii			CR											EN						
Cypripedium farreri			EN											EN						
Cypripedium fasciolatum			EN											EN						
Cypripedium formosanum			EN											EN						
Cypripedium franchetii			EN											EN						
Cypripedium henryi			CR											VU						
Cypripedium lichiangense			EN											EN						
Cypripedium margaritaceum			EN											EN						
Cypripedium wumengense			CR											CR						
Cypripedium yunnanense			CR											EN						
Dendrobium changjiangense			EN																	
Dendrobium flexicaule			EN																	
Dendrobium guangxiense			EN																	
Dendrobium huoshanense			CR																	
Dendrobium leptocladum			EN																	
Dendrobium lohohense			EN																	
Dendrobium sinominutiflorum			EN																	
Dendrobium officinale			CR																	
Dendrobium sinense			EN																	
Dendrobium wilsonii			EN																	
Diplandrorchis sinica			CR																	
Eulophia faberi			VU																	
Eulophia taiwanensis			EN																	
Gastrodia elata			VU																	
Gastrodia tuberculata			EN																	
Gymnadenia bicornis			EN																	
Gymnadenia crassinervis			EN																	
Habenaria delavayi			VU																	
Habenaria fargesii			VU																	
Habenaria finetiana			VU																	
Habenaria fordii			VU																	
Habenaria mairei			VU																	
Habenaria yuana			VU																	
Hemipilia amesiana			EN																	
Hemipilia crassicalcara			EN																	
Hemipilia cruciata			EN																	
Hemipilia flabellata			VU																	
Hemipilia forrestii			VU																	
Hemipilia henryi			EN																	
Hemipilia limprichtii			VU																	
Herminium ophioglossoides			VU																	
Holcoglossum quasipinifolium			EN																	
Holopogon gaudissartii			CR																	
Holopogon smithianus			EN																	
Liparis bautingensis			EN																	
Neottianthe camptoceras			EN																	
Panisea yunnanensis			EN																	
Paphiopedilum armeniacum	E		EN										EN							
Paphiopedilum barbigerum	V		EN										EN							
Paphiopedilum dianthum			EN										EN							
Paphiopedilum emersonii	R		CR										CR							
Paphiopedilum tigrinum			CR										EN							
Phalaenopsis hainanensis			CR																	
Platanthera deflexilabella			VU																	
Platanthera finetiana			VU																	
Platanthera likiangensis			VU																	
Platanthera longiglandula			VU																	
Platanthera oreophila			VU																	
Platanthera platantheroides			VU																	
Platanthera sinica			VU																	
Pleione chunii			VU																	
Pleione formosana			VU																	
Pleione forrestii			EN																	
Pleione pleionoides			VU																	
Smithorchis calceoliformis			EN																	
Tsaiorchis neottianthoides			VU																	
Vanilla somai			EN																	
Haemanthus avasmontanus			LC																	
Strumaria barbarae			LC																	
Strumaria hardyana			LC																	
Strumaria phonolithica			LC																	
Aloe argenticauda			LC																	
Aloe corallina			LC																	
Aloe dewinteri			LC																	
Aloe dinteri			LC																	
Aloe erinacea			EN																	
Aloe namibensis			LC					LC												
Aloe sladeniana			LC																	
Aloe viridiflora			LC																	
Bulbine caput-medusae			LC																	
Bulbine francescae			LC																	
Bulbine namaensis			LC																	
Trachyandra peculiaris			VU																	
Eriospermum buchubergense			LC																	
Eriospermum citrinum			LC																	
Eriospermum flexum			LC																	
Eriospermum halenbergense			VU			LC														
Eriospermum lavranosii			LC																	
Rhadamanthus namibensis			LC																	
Rhadamanthus secundus			LC																	
Lachenalia klinghardtiana			LC																	
Lachenalia namibiensis			LC																	
Lachenalia nordenstamii			LC																	
Lachenalia nutans			LC																	
Whiteheadia etesionamibensis			LC																	
Babiana longicollis			LC																	
Moraea garipensis			LC																	
Moraea graniticola			LC																	
Moraea hexaglottis			LC																	
Bartholina etheliae			VU																	
Holothrix filicornis			LC																	
Allium calamarophilon															DD					
Allium rouyi	E														CR	LC				
Narcissus alcaracensis											EN				EN					
Narcissus bugei	V														EN					
Narcissus longispathus	R														EN					
Narcissus radinganorum	V														EN					
Brimeura duvigneaudii															CR					
Scilla morrisii	E								EN						CR					
Narcissus nevadensis											EN					EN				
Polystachya albescens				LC																
Epidendrum cocoense																	NT			
Epidendrum insulanum																	NT			
Platanthera praeclara																	EN			
Kniphofia goetzei					VU															
Aloe massawana					VU															
Cyrtanthus sanguineus					LC															
Aloe congdonii					NT															
Asparagus faulknerae					LC															
Aloe vituensis	V				LC															
Crinum politifolium					LC															
Gladiolus rupicola					LC															
Asparagus usambarensis					EN															
Aloe leedalii					LC															
Asparagus humilis							EN													
Aloe ukambensis	E				VU															
Aloe pembana					CR															
Aloe bussei	I				VU															
Hypoxis malaissei					DD															
Aloe brandhamii					EN															
Chlorophytum holstii					LC															
Aloe deserti	V				NT															
Gladiolus usambarensis					NT															
Kabuyea hostifolia					LC															
Aloe richardsiae	I				NT															
Aloe classenii	V				CR															
Aloe volkensii					LC															
Aloe kilifiensis	E				EN															
Chlorophytum filipendulum					LC															
Aloe flexilifolia	I				CR															
Aloe brachystachys					VU															
Aloe rabaiensis					LC															
Aloe leptosiphon	I				CR															
Aloe microdonta					LC															
Moraea iringensis					LC															
Aloe leachii	I				VU															
Aloe penduliflora	I				EN															
Aloe boscawenii	I				CR															
Aloe dorotheae	I				CR															
Moraea callista					VU															
Scilla litardierei											NT					DD				
Ophrys lunulata									LC							NT				
Crocus hartmannianus																VU				
Narcissus cyclamineus																LC				
Cephalanthera cucullata											VU					EN				
Bellevalia hackelii											LC					LC				
Crocus etruscus																NT				
Narcissus scaberulus																LC				
Narcissus calcicola																LC				
Iris lusitanica																DD				
Cypripedium calceolus														LC						
Narcissus triandrus																LC				
Dactylorhiza kalopissii																EN				
Goodyera macrophylla																CR				
Narcissus asturiensis																LC				
Ophrys argolica																VU				
Scilla madeirensis																LC				
Iris marsica																DD				
Galanthus nivalis																NT				
Gladiolus palustris																DD				
Asphodelus bento-rainhae																VU				
Narcissus viridiflorus											NT									
Crocus cyprius																VU				
Ophrys kotschyi																NT				
Himantoglossum adriaticum																LC				
Ophrys melitensis											LC									
Scilla odorata																DD				
Ornithogalum reverchonii											LC									
Iris boissieri																CR				
Allium grosii																LC				
Iris pseudacorus														LC						
Romulea antiatlantica											CR							CR		
Serapias stenopetala																		CR		
Dactylorhiza elata									NT									LC		
Dactylorhiza maurusia																		EN		
Anacamptis palustris														LC						
Leucojum aestivum														LC						
Galanthus elwesii	I															DD				
Galanthus gracilis																DD				
Galanthus ikariae																VU				
Galanthus peshmenii																VU				
Galanthus plicatus																LC				
Galanthus reginae-olgae																VU				
Galanthus trojanus																CR				
Bellevalia warburgii									EN											
Ornithogalum fuscescens									EN											
Iris grant-duffii						EN														
Crinum viviparum																LC				
Zeuxine strateumatica																LC				
Allium podolicum																DD				
Allium pervestitum																EN				
Allium acutiflorum																LC				
Allium aethusanum																DD				
Allium pendulinum											LC					DD				
Allium rubrovittatum											LC					LC				
Allium narcissiflorum																DD				
Allium hymettium																DD				
Allium breviradium																DD				
Allium autumnale																LC				
Allium melanantherum																LC				
Allium pilosum																DD				
Allium bornmuelleri																DD				
Allium corsicum																CR				
Allium amethystinum									LC											
Allium parciflorum											LC					DD				
Allium tardans																LC				
Allium favosum																DD				
Allium circinatum																DD				
Allium willeanum																LC				
Allium callimischon									LC											
Allium macedonicum																DD				
Allium obtusiflorum																DD				
Allium baeticum								LC												
Allium scythicum																DD				
Allium schmitzii																VU				
Allium talijevii																DD				
Allium heldreichii																DD				
Allium triquetrum											LC									
Allium ericetorum																DD				
Allium pruinatum																DD				
Allium chamaemoly											LC									
Allium melananthum																NT				
Allium permixtum																DD				
Allium parnassicum																DD				
Allium lojaconoi																NT				
Allium phthioticum																DD				
Allium kermesinum																DD				
Allium insubricum																DD				
Allium ramosum						LC														
Allium ampeloprasum						LC														
Allium polyanthum								LC												
Allium integerrimum																DD				
Allium meteoricum																DD				
Allium suaveolens																LC				
Allium incensiodorum																DD				
Allium lopadusanum																DD				
Allium moly																LC				
Allium chrysonemum																DD				
Allium luteolum																DD				
Allium gomphrenoides																DD				
Allium lehmannii																DD				
Allium atroviolaceum						DD														
Allium sipyleum									LC											
Allium marschalianum																DD				
Allium horvatii																DD				
Allium stearnii																LC				
Allium schoenoprasum						LC														
Allium scorzonerifolium											LC									
Allium chamaespathum																DD				
Allium bourgeaui						DD														
Allium palentinum																DD				
Allium pyrenaicum																VU				
Allium commutatum											LC									
Narcissus jonquilla									DD											
Orchis sitiaca																EN				
Gymnadenia runei																NT				
Epipactis palustris														LC						
Spiranthes romanzoffiana									LC											
Dactylorhiza baumanniana																NT				
Dactylorhiza cordigera																LC				
Neottia cordata									LC											
Orchis pauciflora																LC				
Epipactis troodi											EN					EN				
Gymnadenia borealis																DD				
Gymnadenia lithopolitanica																EN				
Epipactis dunensis																DD				
Epipactis veratrifolia				LC																
Orchis brancifortii											LC					LC				
Serapias nurrica																NT				
Chamorchis alpina																LC				
Ophrys insectifera																LC				
Anacamptis boryi																VU				
Serapias neglecta																NT				
Epipactis purpurata																LC				
Dactylorhiza lapponica																LC				
Platanthera hyperborea									LC											
Platanthera micrantha																EN				
Epipactis tallosii																EN				
Epipactis leptochila																LC				
Gymnadenia rhellicani																LC				
Dactylorhiza sambucina																LC				
Gymnadenia archiducis-joannis																EN				
Epipactis muelleri																LC				
Epipactis nordeniorum																VU				
Neottia nidus-avis														LC						
Gymnadenia odoratissima																LC				
Hammarbya paludosa									LC											
Spiranthes sinensis														LC						
Ophrys atlantica											LC									
Epipactis albensis																LC				
Dactylorhiza foliosa																LC				
Gymnadenia widderi																EN				
Ophrys bertolonii																LC				
Gymnadenia stiriaca																EN				
Epipactis phyllanthes																LC				
Anacamptis sancta									LC											
Epipactis greuteri																EN				
Gymnadenia frivaldii																LC				
Epipactis placentina																EN				
Habenaria tridactylites																LC				
Orchis quadripunctata											LC									
Platanthera algeriensis											NT									
Cephalanthera epipactoides								DD												
Himantoglossum metlesicsianum																EN				
Asparagus officinalis						LC														
Asparagus verticillatus						LC														
Asparagus plocamoides																VU				
Asparagus umbellatus																LC				
Asparagus fallax																EN				
Asparagus nesiotes																EN				
Asparagus tenuifolius						LC														
Asparagus acutifolius						LC														
Asparagus littoralis																DD				
Asparagus albus											LC									
Asparagus arborescens																VU				
Asparagus pseudoscaber																DD				
Asparagus aphyllus						LC														
Asparagus maritimus						DD														
Crinum lorifolium																LC				
Leopoldia gussonei																EN				
Habenaria isoantha				EN																
Mystacidium pulchellum				EN																
Stolzia oligantha				EN																
Stolzia viridis				EN																
Stolzia leedalii				EN																
Ancistrorhynchus refractus				EN																
Disperis egregia				CR																
Polystachya acuminata				CR																
Cynorkis usambarae				CR																
Polystachya caudata				EN																
Polystachya disiformis				EN																
Rhipidoglossum melianthum				LC																
Tridactyle minuta				EN																
Polystachya teitensis				EN																
Polystachya isochiloides				EN																
Disa aequiloba								EN												
Habenaria leucoceras				EN																
Ancistrorhynchus parviflorus				LC																
Polystachya fischeri				EN																
Tridactyle phaeocephala				LC																
Polystachya caespitifica				LC																
Habenaria richardsiae				EN																
Drimiopsis perfoliata								DD												
Stolzia moniliformis				EN																
Angraecopsis tenerrima				EN																
Polystachya holstii				EN																
Tridactyle sarcodantha				CR																
Habenaria plectromaniaca				VU																
Habenaria villosa				DD																
Habenaria stylites				VU																
Disperis kerstenii				EN																
Polystachya serpentina				EN																
Disa nyikensis				LC							DD									
Tridactyle flabellata				LC																
Rhipidoglossum tanneri				EN																
Disperis aphylla				VU																
Polystachya porphyrochila				CR																
Polystachya canaliculata				CR																
Stolzia christopheri				EN																
Tridactyle brevifolia				EN																
Polystachya uluguruensis				EN																
Tridactyle tanneri				EN																
Bulbophyllum concatenatum				EN																
Angraecopsis parva				VU																
Stolzia atrorubra				EN																
Polystachya pudorina				EN																
Neobenthamia gracilis				VU																
Cynorkis buchwaldiana				NT																
Polystachya rugosilabia				CR																
Tridactyle cruciformis				EN																
Rhipidoglossum orientalis				CR																
Cynorkis pleistadenia				LC																
Polystachya xerophila				EN																
Polystachya subdiphylla				EN																
Cyanastrum goetzeanum							EN													
Chlorophytum ruahense																			LC	
Polystachya lukwangulensis				DD																
Mystacidium nguruense				CR																
Polystachya shega				EN																
Ancistrorhynchus laxiflorus				VU																
Polystachya praecipitis				EN																
Disperis elaphoceras				LC																
Polystachya mazumbaiensis				EN																
Stolzia angustifolia				EN																
Bulbophyllum gilgianum				DD																
Cynorkis uncata				VU																
Polystachya longiscapa				EN																
Allium exaltatum																VU				
Romulea multisulcata																		VU		
Crinum variabile																		LC		
Crinum paludosum																		LC		
Spiloxene aquatica																		LC		
Moraea stagnalis																		VU		
Cyanella aquatica																		VU		
Crinum campanulatum																		VU		
Crinum crassicaule																		LC		
Moraea huttonii																		LC		
Romulea aquatica																		EN		
Paphiopedilum callosum													EN							
Paphiopedilum delenatii	Ex/E												CR							
Paphiopedilum gratrixianum							CR						CR							
Paphiopedilum hangianum													CR							
Paphiopedilum helenae													CR							
Paphiopedilum henryanum													CR							
Paphiopedilum malipoense	E												EN							
Paphiopedilum micranthum	E												CR							
Paphiopedilum purpuratum													CR							
Paphiopedilum tranlienianum													CR							
Paphiopedilum canhii													CR							
Curculigo seychellensis																LC				R
Hederorkis seychellensis																EN				
Hypoxidia rhizophylla																VU				V
Hypoxidia maheensis																EN				E
Malaxis seychellarum																VU				V
Oeceoclades seychellarum																EX				Ex/E
Vanilla phalaenopsis																LC				I
Narcissus poeticus														LC						
Paphiopedilum sukhakulii													CR							I
Paphiopedilum parishii													EN							
Bellevalia dubia											LC									
Acis nicaeensis											EN					EN				
Bellevalia webbiana																EN				
Narcissus cavanillesii											LC									
Scilla lochiae									NT							DD				
Allium vasilevskajae														DD						
Allium koenigianum														DD						
Allium struzlianum														EN						
Allium baytopiorum														CR						
Allium pseudoalbidum														EN						
Allium czelghauricum														CR						
Asphodeline tenuior														VU						
Crocus aerius														EN						
Dactylorhiza euxina														NT						
Galanthus koenenianus														VU						
Gladiolus hajastanicus														VU						
Iris timofejewii														EN						
Iris camillae														VU						
Iris spuria														LC						
Ornithogalum hyrcanum														VU						
Ornithogalum gabrielianiae														CR						
Bulbophyllum vulcanicum								EN												
Aloe glabrescens				LC																
Aloe monticola				EN																
Aloe elegantissima				LC																
Aloe breviscapa				LC																
Aloe benishangulana				DD																
Aloe macleayi				LC																
Aloe brunneostriata				CR																
Aloe parvidens				LC																
Aloe ruspoliana				LC																
Aloe pubescens				NT																
Aloe yavellana				EN																
Aloe hildebrandtii				EN																
Aloe calidophila				LC																
Aloe schoelleri				NT																
Aloe adigratana				EN																
Aloe grisea				EN																
Aloe lateritia				LC																
Aloe otallensis				LC																
Aloe steudneri				NT																
Aloe camperi				LC																
Aloe wrefordii				LC																
Aloe ghibensis				CR																
Aloe schelpei				EN																
Aloe ericahenriettae				LC																
Aloe molederana				CR																
Aloe eumassawana				LC																
Aloe elkerriana				LC																
Aloe hemmingii				NT																
Aloe labworana				LC																
Aloe heybensis				LC																
Aloe trichosantha				LC																
Aloe bargalensis				NT																
Aloe rigens				LC																
Aloe sinana				EN																
Aloe elegans				LC																
Aloe lindenii				VU																
Aloe percrassa				NT																
Aloe weloensis				DD																
Aloe clarkei				LC																
Aloe tewoldei				NT																
Aloe miskatana				LC																
Aloe megalacantha				LC																
Aloe macrocarpa				LC																
Aloe ambigens				EN																
Aloe canarina				DD																
Aloe welmelensis				DD																
Aloe jacksonii				DD																
Aloe jucunda				CR																
Aloe medishiana				NT																
Aloe citrina				LC																
Aloe albovestita				EN																
Aloe sinkatana				EN																
Aloe rugosifolia				VU																
Aloe erensii				EN																
Aloe crassipes				DD																
Aloe rivae				LC																
Aloe rubrodonta				DD																
Aloe schweinfurthii				LC																
Aloe mcloughlinii				LC																
Aloe ankoberensis				EN																
Aloe ellenbeckii				LC																
Aloe diolii				LC																
Aloe scobinifolia				EN																
Aloe bertemariae				DD																
Aloe cremnophila				EN																
Aloe gracilicaulis				EN																
Aloe somaliensis				VU																
Aloe heliderana				NT																
Aloe djiboutiensis				LC																
Aloe pirottae				LC																
Aloe gillettii				EN																
Aloe bella				EN																
Aloe debrana				LC																
Aloe orlandi				DD																
Aloe kahinii				LC																
Aloe gilbertii				LC																
Aloe retrospiciens				VU																
Aloe tweedieae				LC																
Aloe trigonantha				LC																
Aloe friisii				EN																
Aloe pulcherrima				VU																
Aloe harlana				EN																
Aloe peckii				EN																
Aloe secundiflora				LC																
Allium altaicum						NT														
Allium macrostemon						LC														
Crinum thaianum																EN				
Iris cedreti	E					CR														
Cypripedium daweishanense														CR						
Cypripedium lentiginosum														EN						
Cypripedium malipoense														CR						
Cypripedium subtropicum														EN						
Paphiopedilum bellatulum													EN							
Paphiopedilum charlesworthii	R												EN							
Paphiopedilum villosum													VU							
Paphiopedilum wardii	R												EN							
Paphiopedilum wenshanense													CR							
Drimia maritima											LC									
Leucojum vernum														LC						
Iris xiphium											LC									
Cypripedium guttatum														LC						
Angraecopsis pusilla								LC												
Dinklageella villiersi							CR													
Acis autumnalis				LC																
Acis fabrei											VU									
Leucojum ionicum											LC									
Acis longifolia											LC									
Acis rosea											LC									
Allium agrigentinum											EN									
Allium anzalonei											NT									
Allium apulum											LC									
Allium birkinshawii											DD									
Allium calabrum											LC									
Allium carmeli									NT											
Allium croaticum											LC									
Allium cyprium									LC											
Allium diomedeum											EN									
Allium drusorum									DD											
Allium dumetorum									VU											
Allium feinbergii									LC											
Allium franciniae											DD									
Allium galileum									LC											
Allium garganicum											EN									
Allium hemisphaericum											VU									
Allium hermoneum									LC											
Allium libani									NT											
Allium makmelianum									NT											
Allium makrianum									EN											
Allium marathasicum									CR											
Allium multiflorum											LC									
Allium nebrodense											VU									
Allium pseudophanerantherum									VU											
Allium pseudostamineum									LC											
Allium sannineum							EN		EN											
Allium savii											LC									
Allium sprengeri									DD											
Allium tardiflorum									LC											
Allium telmatum									NT											
Allium trichocnemis								VU												
Galanthus cilicicus											DD									
Hannonia hesperidum											VU									
Lapiedra martinezii											LC									
Narcissus albicans											DD									
Narcissus albimarginatus											EN									
Narcissus atlanticus											DD									
Narcissus cantabricus											LC									
Narcissus cuatrecasasii											NT									
Narcissus dubius											LC									
Narcissus elegans											LC									
Narcissus foliosus											DD									
Narcissus gaditanus											NT									
Narcissus hesperidis											DD									
Narcissus jeanmonodii											EN									
Narcissus lusitanicus											VU									
Narcissus magni-abilii											DD									
Narcissus obesus											LC									
Narcissus obsoletus											LC									
Narcissus serotinus											LC									
Narcissus supramontanus											DD									
Narcissus tingitanus											EN									
Pancratium foetidum											LC									
Pancratium illyricum											LC									
Sternbergia pulchella											DD									
Vagaria ollivieri											VU									
Vagaria parviflora									LC											
Aphyllanthes monspeliensis									LC											
Bellevalia ciliata											DD									
Bellevalia hermonis									LC											
Bellevalia nivalis									LC											
Bellevalia pelagica									CR											
Drimia fugax											LC									
Drimia undata														LC						
Hyacinthella millingenii									LC											
Leopoldia bicolor									NT											
Muscari parviflorum									LC											
Ornithogalum broteroi																		LC		
Ornithogalum corsicum											LC									
Ornithogalum libanoticum									EN											
Ornithogalum pedicellare									LC											
Ornithogalum visianicum											EX									
Scilla albanica											LC									
Scilla dimartinoi											EN									
Scilla libanotica									LC											
Crocus boissieri														DD						
Crocus corsicus											LC									
Crocus cvijicii											LC									
Crocus hadriaticus											LC									
Crocus hyemalis									LC											
Crocus imperati											LC									
Crocus ligusticus											NT									
Crocus longiflorus											LC									
Crocus minimus											LC									
Crocus nevadensis											LC									
Crocus ochroleucus									LC											
Crocus pelistericus											LC									
Crocus scardicus											LC									
Crocus suaveolens											LC									
Crocus thomasii											LC									
Crocus veneris									LC											
Gladiolus triphyllus									LC											
Iris antilibanotica						CR														
Iris assadiana						DD														
Iris atrofusca						NT														
Iris atropurpurea						CR														
Iris auranitica						DD														
Iris basaltica						DD														
Iris bicapitata									LC											
Iris bismarckiana						EN														
Iris bostrensis	R					EN														
Iris calabra									NT											
Iris damascena						CR														
Iris filifolia									LC											
Iris haynei						VU														
Iris hellenica									DD											
Iris hermona						EN														
Iris histrio						LC	LC													
Iris lortetii						EN														
Iris nigricans						VU														
Iris nusairiensis						CR														
Iris orjenii									VU											
Iris palaestina						LC														
Iris pseudopumila									LC											
Iris revoluta											CR									
Iris serotina											DD									
Iris vartanii						VU														
Iris westii						EN														
Iris yebrudii						DD														
Romulea arnaudii											CR									
Romulea bifrons											NT									
Romulea bocchierii									NT											
Romulea corsica											LC									
Romulea cyrenaica											EN									
Romulea engleri											NT									
Romulea florentii											VU									
Romulea maroccana											EN									
Romulea nivalis											VU									
Romulea numidica											DD									
Romulea penzigii											DD									
Romulea phoenicia									VU											
Romulea requienii											LC									
Romulea revelierei											LC									
Romulea tempskyana											LC									
Romulea vaillantii											DD									
Romulea villaretii											CR									
Anacamptis cyrenaica											DD									
Anacamptis israelitica									LC											
Dactylorhiza atlantica											EN									
Epipactis ioessa											EN									
Epipactis olympica											EN									
Epipactis provincialis											NT									
Ophrys lepida											LC									
Orchis laeta											NT									
Serapias frankavillae									NT											
Serapias perez-chiscanoi											LC									
Asphodelus acaulis											LC									
Cypripedium japonicum														EN						
Iris koreana						EN														
Iris odaesanensis						EN														
Cypripedium kentuckiense	R													VU						
Brachycorythis wightii				DD																
Asparagus aethiopicus				LC																
Agave americana								LC												
Paphiopedilum druryi	E												CR							
Conchidium pusillum				LC																
Paphiopedilum spicerianum													EN							
Paphiopedilum venustum													EN							
Bulbophyllum cauliflorum														LC						
Dendrobium aphyllum				LC																
Habenaria jaegeri									EN											
Prospero battagliae											DD									
Prospero depressum											VU									
Prospero fallax											LC									
Prospero hierae											VU									
Prospero hierapytnense											DD									
Prospero idaeum											DD									
Prospero minimum											VU									
Prospero obtusifolium											NT									
Prospero rhadamanthi											DD									
Prospero talosii											CR									
Angraecum aporoides														LC						
Angraecum bancoense														LC						
Angraecum distichum														LC						
Angraecum podochiloides														LC						
Angraecum doratophyllum														EN						
Angraecum gabonense														LC						
Angraecum pungens														VU						
Angraecum subulatum														LC						
Pectinariella dasycarpum								VU												
Angraecum humblotianum				EN																
Pectinariella pterophylla								VU												
Angraecum atlanticum														NT						
Bulbophyllum burttii								LC												
Bulbophyllum kivuense								LC												
Cynorkis symoensii								LC												
Eggelingia ligulifolia								EN												
Habenaria coeloglossoides								LC												
Habenaria lewallei								CR												
Liparis harketii								LC												
Margelliantha burttii								LC												
Margelliantha lebelii									LC											
Microcoelia nyungwensis								LC												
Polystachya brugeana				DD																
Polystachya bruechertiae									LC											
Polystachya cribbiana								LC												
Polystachya dewanckeliana								EN												
Polystachya doggettii								LC												
Polystachya fallax								EN												
Polystachya gracilenta								VU												
Polystachya hastata								VU												
Polystachya kermesina								LC												
Polystachya lawalreana								LC												
Polystachya leonardiana								LC												
Polystachya meyeri								EN												
Polystachya mildbraedii								LC												
Polystachya poikilantha								LC												
Polystachya pachychila								EN												
Polystachya pamelae								LC												
