species	CR_p_ext_0
Liparis ambohimangana	0.066967008463
Liparis bautingensis	0.066967008463
Liparis bulbophylloides	0.066967008463
Liparis glaucescens	0.066967008463
Liparis goodyeroides	0.066967008463
Liparis henrici	0.066967008463
Liparis longicaulis	0.066967008463
Liparis longipetala	0.066967008463
Liparis petelotii	0.066967008463
Liparis philippinensis	0.066967008463
Liparis puncticulata	0.066967008463
Benthamia calceolata	0.066967008463
Liparis swenssonii	0.066967008463
Benthamia elata	0.066967008463
Benthamia glaberrima	0.066967008463
Lueddemannia pescatorei	0.066967008463
Benthamia humbertii	0.066967008463
Macradenia paraensis	0.066967008463
Benthamia monophylla	0.066967008463
Benthamia nigrescens	0.066967008463
Malaxis bayardii	0.066967008463
Malaxis brachystachys	0.066967008463
Benthamia nivea	0.066967008463
Benthamia perularioides	0.066967008463
Malaxis javesiae	0.066967008463
Benthamia praecox	0.066967008463
Malaxis lepanthiflora	0.066967008463
Benthamia procera	0.066967008463
Benthamia rostrata	0.066967008463
Malaxis muscifera	0.066967008463
Malaxis wendtii	0.066967008463
Masdevallia notosibirica	0.066967008463
Masdevallia strumifera	0.066967008463
Maxillaria angustisegmenta	0.066967008463
Bletia ensifolia	0.066967008463
Microcoelia bulbocalcarata	0.066967008463
Brachionidium dressleri	0.066967008463
Myrmecophila thomsoniana	0.066967008463
Mystacidium nguruense	0.066967008463
Mystacidium pulchellum	0.066967008463
Neobolusia ciliata	0.066967008463
Neottia acuminata	0.066967008463
Neottia cordata	0.066967008463
Neottia nidus-avis	0.066967008463
Brachionidium pteroglossum	0.066967008463
Brachycorythis disoides	0.066967008463
Oeceoclades maculata	0.066967008463
Oeonia brauniana	0.066967008463
Oligophyton drummondii	0.066967008463
Oncidium dactyliferum	0.066967008463
Oncidium ensatum	0.066967008463
Oncidium hastilabium	0.066967008463
Oncidium planilabre	0.066967008463
Ophrys argolica	0.066967008463
Ophrys atlantica	0.066967008463
Ophrys bertolonii	0.066967008463
Ophrys insectifera	0.066967008463
Ophrys kotschyi	0.066967008463
Ophrys lunulata	0.066967008463
Orchis brancifortii	0.066967008463
Orchis laeta	0.066967008463
Orchis pauciflora	0.066967008463
Orchis quadripunctata	0.066967008463
Orchis sitiaca	0.066967008463
Oreorchis oligantha	0.066967008463
Orleanesia amazonica	0.066967008463
Acianthera saundersiana	0.066967008463
Pachyplectron arifolium	0.066967008463
Palmorchis imuyaensis	0.066967008463
Palmorchis trilobulata	0.066967008463
Panisea yunnanensis	0.066967008463
Paphiopedilum appletonianum	0.066967008463
