species	simulated_ext_prob_in_50_years
Liparis ambohimangana	0.20000000
Liparis bautingensis	0.26000000
Liparis bulbophylloides	0.07000000
Liparis glaucescens	0.03000000
Liparis goodyeroides	0.83000000
Liparis henrici	0.03000000
Liparis longicaulis	0.06000000
Liparis longipetala	0.00000000
Liparis petelotii	0.00000000
Liparis philippinensis	0.02000000
Liparis puncticulata	0.10000000
Benthamia calceolata	0.24000000
Liparis swenssonii	0.01000000
Benthamia elata	0.23000000
Benthamia glaberrima	0.04000000
Lueddemannia pescatorei	0.01000000
Benthamia humbertii	0.30000000
Macradenia paraensis	0.00000000
Benthamia monophylla	0.02000000
Benthamia nigrescens	0.25000000
Malaxis bayardii	0.70000000
Malaxis brachystachys	0.02000000
Benthamia nivea	0.18000000
Benthamia perularioides	0.08000000
Malaxis javesiae	0.01000000
Benthamia praecox	0.19000000
Malaxis lepanthiflora	0.02000000
Benthamia procera	0.25000000
Benthamia rostrata	0.18000000
Malaxis muscifera	0.08000000
Malaxis wendtii	0.05000000
Masdevallia notosibirica	0.07000000
Masdevallia strumifera	0.00000000
Maxillaria angustisegmenta	0.01000000
Bletia ensifolia	0.00000000
Microcoelia bulbocalcarata	0.00000000
Brachionidium dressleri	0.25000000
Myrmecophila thomsoniana	0.27000000
Mystacidium nguruense	0.79000000
Mystacidium pulchellum	0.23000000
Neobolusia ciliata	0.27000000
Neottia acuminata	0.00000000
Neottia cordata	0.01000000
Neottia nidus-avis	0.00000000
Brachionidium pteroglossum	0.73000000
Brachycorythis disoides	0.08000000
Oeceoclades maculata	0.00000000
Oeonia brauniana	0.05000000
Oligophyton drummondii	0.01000000
Oncidium dactyliferum	0.00000000
Oncidium ensatum	0.01000000
Oncidium hastilabium	0.00000000
Oncidium planilabre	0.01000000
Ophrys argolica	0.07000000
Ophrys atlantica	0.00000000
Ophrys bertolonii	0.01000000
Ophrys insectifera	0.01000000
Ophrys kotschyi	0.01000000
Ophrys lunulata	0.02000000
Orchis brancifortii	0.00000000
Orchis laeta	0.05000000
Orchis pauciflora	0.00000000
Orchis quadripunctata	0.00000000
Orchis sitiaca	0.27000000
Oreorchis oligantha	0.00000000
Orleanesia amazonica	0.00000000
Acianthera saundersiana	0.02000000
Pachyplectron arifolium	0.01000000
Palmorchis imuyaensis	0.00000000
Palmorchis trilobulata	0.00000000
Panisea yunnanensis	0.16000000
Paphiopedilum appletonianum	0.27000000
Paphiopedilum armeniacum	0.15000000
Paphiopedilum barbigerum	0.31000000
Paphiopedilum bellatulum	0.24000000
Paphiopedilum bullenianum	0.31000000
Paphiopedilum concolor	0.22000000
Paphiopedilum dianthum	0.31000000
Paphiopedilum emersonii	0.77000000
Paphiopedilum glanduliferum	0.21000000
Paphiopedilum godefroyae	0.23000000
Paphiopedilum gratrixianum	0.75000000
Paphiopedilum hangianum	0.64000000
Paphiopedilum haynaldianum	0.20000000
Paphiopedilum helenae	0.76000000
Paphiopedilum henryanum	0.78000000
Paphiopedilum hirsutissimum	0.03000000
Paphiopedilum hookerae	0.23000000
Paphiopedilum insigne	0.18000000
Paphiopedilum javanicum	0.19000000
Paphiopedilum lowii	0.17000000
Paphiopedilum malipoense	0.21000000
Paphiopedilum micranthum	0.73000000
Paphiopedilum niveum	0.27000000
Paphiopedilum parishii	0.24000000
Paphiopedilum purpuratum	0.74000000
Paphiopedilum rothschildianum	0.86000000
Paphiopedilum sanderianum	0.82000000
Paphiopedilum schoseri	0.77000000
Paphiopedilum stonei	0.76000000
Paphiopedilum supardii	0.75000000
Paphiopedilum tonsum	0.25000000
Paphiopedilum victoria-regina	0.82000000
Paphiopedilum vietnamense	0.81000000
Paphiopedilum villosum	0.02000000
Paphiopedilum violascens	0.28000000
Paphiopedilum wilhelminae	0.30000000
Pedilochilus papuanus	0.01000000
Pelexia orthosepala	0.01000000
Peristylus aristatus	0.00000000
Brassia lanceana	0.00000000
Brassia maculata	0.00000000
Phalaenopsis violacea	0.05000000
Pholidota camelostalix	0.01000000
Pholidota chinensis	0.02000000
Pholidota globosa	0.01000000
Phragmipedium besseae	0.32000000
Phragmipedium boissierianum	0.00000000
Phragmipedium caricinum	0.06000000
Phragmipedium caudatum	0.21000000
Phragmipedium hirtzii	0.30000000
Phragmipedium humboldtii	0.03000000
Brassia verrucosa	0.01000000
Phragmipedium klotzschianum	0.34000000
Phragmipedium lindenii	0.00000000
Phragmipedium lindleyanum	0.06000000
Phragmipedium longifolium	0.00000000
Phragmipedium pearcei	0.01000000
Phragmipedium sargentianum	0.26000000
Phragmipedium schlimii	0.27000000
Phragmipedium vittatum	0.01000000
Phragmipedium warszewiczianum	0.07000000
Brassia wageneri	0.00000000
Phreatia plantaginifolia	0.00000000
Physoceras boryanum	0.22000000
Pinalia fitzalanii	0.00000000
Platanthera algeriensis	0.05000000
Platanthera blephariglottis	0.02000000
Platanthera chapmanii	0.05000000
Platanthera chorisiana	0.00000000
Platanthera clavellata	0.02000000
Bromheadia finlaysoniana	0.00000000
Platanthera finetiana	0.01000000
Platanthera huronensis	0.01000000
Platanthera hyperborea	0.01000000
Platanthera integrilabia	0.04000000
Platanthera leucophaea	0.00000000
Platanthera micrantha	0.28000000
Platanthera oreophila	0.06000000
Platanthera praeclara	0.25000000
Platanthera tipuloides	0.01000000
Platanthera yadonii	0.01000000
Platycoryne mediocris	0.00000000
Platylepis grandiflora	0.00000000
Broughtonia negrilensis	0.32000000
Platystele minimiflora	0.01000000
Pleione chunii	0.05000000
Pleione formosana	0.05000000
Pleione forrestii	0.16000000
Bryobium eriaeoides	0.01000000
Bulbophyllum aggregatum	0.09000000
Pleurothallis rowleei	0.00000000
