species	rate_e_mean	rate_e_lower	rate_e_upper
All taxa combined	0.00327718	0.00322388	0.00332886
Liparis ambohimangana	0.00471041	0.00278548	0.00668620
Liparis bautingensis	0.00630225	0.00397644	0.00868195
Liparis bulbophylloides	0.00163164	0.00062426	0.00282931
Liparis glaucescens	0.00083297	0.00015075	0.00163766
Liparis goodyeroides	0.03709823	0.02908658	0.04486033
Liparis henrici	0.00078191	0.00015026	0.00158550
Liparis longicaulis	0.00143049	0.00046937	0.00254002
Liparis longipetala	0.00020911	0.00000410	0.00061570
Liparis petelotii	0.00021648	0.00000170	0.00065059
Liparis philippinensis	0.00061874	0.00001805	0.00134717
Liparis puncticulata	0.00228234	0.00097279	0.00362407
Benthamia calceolata	0.00580750	0.00365488	0.00814011
Liparis swenssonii	0.00038194	0.00000892	0.00095488
Benthamia elata	0.00542836	0.00343494	0.00763682
Benthamia glaberrima	0.00098783	0.00019135	0.00183450
Lueddemannia pescatorei	0.00044427	0.00003827	0.00101348
Benthamia humbertii	0.00729090	0.00478840	0.00987094
Macradenia paraensis	0.00023919	0.00000428	0.00069629
Benthamia monophylla	0.00062048	0.00010398	0.00131936
Benthamia nigrescens	0.00627380	0.00400826	0.00858000
Malaxis bayardii	0.02716254	0.02109331	0.03361096
Malaxis brachystachys	0.00056908	0.00007399	0.00128359
Benthamia nivea	0.00417778	0.00251652	0.00611691
Benthamia perularioides	0.00187897	0.00074629	0.00313102
Malaxis javesiae	0.00041936	0.00004155	0.00099862
Benthamia praecox	0.00444541	0.00260636	0.00643700
Malaxis lepanthiflora	0.00060784	0.00008601	0.00126418
Benthamia procera	0.00602930	0.00383260	0.00835441
Benthamia rostrata	0.00426662	0.00236967	0.00619830
Malaxis muscifera	0.00184232	0.00076083	0.00308043
Malaxis wendtii	0.00124231	0.00040770	0.00217715
Masdevallia notosibirica	0.00163546	0.00060068	0.00277611
Masdevallia strumifera	0.00019668	0.00000075	0.00057717
Maxillaria angustisegmenta	0.00038429	0.00000360	0.00093204
Bletia ensifolia	0.00018217	0.00000074	0.00053917
Microcoelia bulbocalcarata	0.00021031	0.00000155	0.00058323
Brachionidium dressleri	0.00587839	0.00375922	0.00817544
Myrmecophila thomsoniana	0.00652860	0.00420245	0.00901710
Mystacidium nguruense	0.03276286	0.02569338	0.04018591
Mystacidium pulchellum	0.00552987	0.00339400	0.00777280
Neobolusia ciliata	0.00656253	0.00431538	0.00903739
Neottia acuminata	0.00017683	0.00000022	0.00053497
Neottia cordata	0.00038895	0.00002139	0.00097867
Neottia nidus-avis	0.00019362	0.00000147	0.00061688
Brachionidium pteroglossum	0.02664434	0.02072763	0.03265495
Brachycorythis disoides	0.00183254	0.00076431	0.00303260
Oeceoclades maculata	0.00019891	0.00000085	0.00064097
Oeonia brauniana	0.00123722	0.00036391	0.00218307
Oligophyton drummondii	0.00040572	0.00000220	0.00093939
Oncidium dactyliferum	0.00016028	0.00000030	0.00049432
Oncidium ensatum	0.00038629	0.00001300	0.00090287
Oncidium hastilabium	0.00022726	0.00000087	0.00068132
Oncidium planilabre	0.00044016	0.00001121	0.00099350
Ophrys argolica	0.00167058	0.00063776	0.00280804
Ophrys atlantica	0.00022292	0.00000179	0.00065079
Ophrys bertolonii	0.00040322	0.00001275	0.00092424
Ophrys insectifera	0.00040434	0.00001241	0.00091889
Ophrys kotschyi	0.00036097	0.00001163	0.00088677
Ophrys lunulata	0.00061878	0.00005452	0.00129136
Orchis brancifortii	0.00022068	0.00000446	0.00063212
Orchis laeta	0.00123354	0.00042781	0.00218776
Orchis pauciflora	0.00021062	0.00000060	0.00064233
Orchis quadripunctata	0.00016715	0.00000015	0.00056106
Orchis sitiaca	0.00632991	0.00408209	0.00870922
Oreorchis oligantha	0.00023357	0.00000084	0.00061648
Orleanesia amazonica	0.00014032	0.00000003	0.00052542
Acianthera saundersiana	0.00063549	0.00009202	0.00133793
Pachyplectron arifolium	0.00039539	0.00002739	0.00091706
Palmorchis imuyaensis	0.00018963	0.00000329	0.00054422
Palmorchis trilobulata	0.00022681	0.00000445	0.00064111
Panisea yunnanensis	0.00363501	0.00194527	0.00539731
Paphiopedilum appletonianum	0.00644879	0.00408843	0.00888937
Paphiopedilum armeniacum	0.00351291	0.00187993	0.00528552
Paphiopedilum barbigerum	0.00779003	0.00510681	0.01053565
Paphiopedilum bellatulum	0.00568230	0.00354383	0.00797052
Paphiopedilum bullenianum	0.00754375	0.00485869	0.01008963
Paphiopedilum concolor	0.00516819	0.00325159	0.00721812
Paphiopedilum dianthum	0.00741675	0.00497498	0.01000826
Paphiopedilum emersonii	0.03227933	0.02557661	0.03973003
Paphiopedilum glanduliferum	0.00503177	0.00311282	0.00719761
Paphiopedilum godefroyae	0.00538790	0.00336292	0.00774757
Paphiopedilum gratrixianum	0.02736710	0.02116724	0.03334870
Paphiopedilum hangianum	0.02225300	0.01693788	0.02752328
Paphiopedilum haynaldianum	0.00480699	0.00292819	0.00682878
Paphiopedilum helenae	0.02898526	0.02260388	0.03543427
Paphiopedilum henryanum	0.03123215	0.02473303	0.03840938
Paphiopedilum hirsutissimum	0.00076759	0.00009920	0.00153620
Paphiopedilum hookerae	0.00550592	0.00341505	0.00771035
Paphiopedilum insigne	0.00425488	0.00246544	0.00608627
Paphiopedilum javanicum	0.00435080	0.00260834	0.00618780
Paphiopedilum lowii	0.00394556	0.00222699	0.00568629
Paphiopedilum malipoense	0.00495003	0.00295403	0.00696470
Paphiopedilum micranthum	0.02904363	0.02227947	0.03546724
Paphiopedilum niveum	0.00652029	0.00433171	0.00898686
Paphiopedilum parishii	0.00564790	0.00360463	0.00795429
Paphiopedilum purpuratum	0.02900128	0.02278157	0.03590660
Paphiopedilum rothschildianum	0.03832429	0.03036987	0.04658525
Paphiopedilum sanderianum	0.03458590	0.02721432	0.04204002
Paphiopedilum schoseri	0.03160526	0.02468423	0.03872349
Paphiopedilum stonei	0.03091702	0.02406912	0.03788664
Paphiopedilum supardii	0.02999772	0.02344022	0.03680412
Paphiopedilum tonsum	0.00605830	0.00379505	0.00842946
Paphiopedilum victoria-regina	0.03510643	0.02764578	0.04252123
Paphiopedilum vietnamense	0.03394965	0.02706527	0.04179263
Paphiopedilum villosum	0.00060981	0.00010374	0.00127400
Paphiopedilum violascens	0.00713267	0.00455160	0.00965284
Paphiopedilum wilhelminae	0.00728391	0.00480283	0.00983326
Pedilochilus papuanus	0.00040225	0.00001744	0.00092422
Pelexia orthosepala	0.00037517	0.00002451	0.00088444
Peristylus aristatus	0.00022400	0.00000056	0.00064242
Brassia lanceana	0.00016220	0.00000063	0.00048623
Brassia maculata	0.00017682	0.00000099	0.00056542
Phalaenopsis violacea	0.00123552	0.00038284	0.00227568
Pholidota camelostalix	0.00040007	0.00002148	0.00095328
Pholidota chinensis	0.00061574	0.00006079	0.00126715
Pholidota globosa	0.00037243	0.00001169	0.00089378
Phragmipedium besseae	0.00801020	0.00538894	0.01067645
Phragmipedium boissierianum	0.00019236	0.00000081	0.00059774
Phragmipedium caricinum	0.00143236	0.00048425	0.00251486
Phragmipedium caudatum	0.00496879	0.00308159	0.00707569
Phragmipedium hirtzii	0.00757877	0.00510751	0.01031162
Phragmipedium humboldtii	0.00080785	0.00011270	0.00162270
Brassia verrucosa	0.00036558	0.00000060	0.00091869
Phragmipedium klotzschianum	0.00834306	0.00570776	0.01111116
Phragmipedium lindenii	0.00021092	0.00000033	0.00061495
Phragmipedium lindleyanum	0.00141319	0.00045833	0.00250176
Phragmipedium longifolium	0.00023828	0.00000163	0.00064884
Phragmipedium pearcei	0.00032426	0.00000540	0.00083481
Phragmipedium sargentianum	0.00639667	0.00419399	0.00877733
Phragmipedium schlimii	0.00659424	0.00426559	0.00908233
Phragmipedium vittatum	0.00037678	0.00000498	0.00091180
Phragmipedium warszewiczianum	0.00165624	0.00064825	0.00282337
Brassia wageneri	0.00018510	0.00000211	0.00058356
Phreatia plantaginifolia	0.00022969	0.00000113	0.00062881
Physoceras boryanum	0.00505647	0.00314226	0.00723366
Pinalia fitzalanii	0.00020546	0.00000173	0.00055614
Platanthera algeriensis	0.00124546	0.00035596	0.00222938
Platanthera blephariglottis	0.00059138	0.00009698	0.00128229
Platanthera chapmanii	0.00126760	0.00038733	0.00231355
Platanthera chorisiana	0.00018424	0.00000016	0.00055019
Platanthera clavellata	0.00060520	0.00004887	0.00128831
Bromheadia finlaysoniana	0.00018234	0.00000010	0.00052480
Platanthera finetiana	0.00040795	0.00003342	0.00091237
Platanthera huronensis	0.00038926	0.00001384	0.00090419
Platanthera hyperborea	0.00039331	0.00000964	0.00095437
Platanthera integrilabia	0.00101924	0.00026620	0.00186866
Platanthera leucophaea	0.00018606	0.00000251	0.00057592
Platanthera micrantha	0.00693945	0.00462408	0.00955993
Platanthera oreophila	0.00144749	0.00045803	0.00259975
Platanthera praeclara	0.00593525	0.00376190	0.00817768
Platanthera tipuloides	0.00035341	0.00001363	0.00089437
Platanthera yadonii	0.00043161	0.00001040	0.00102642
Platycoryne mediocris	0.00020527	0.00000032	0.00060621
Platylepis grandiflora	0.00018779	0.00000133	0.00055422
Broughtonia negrilensis	0.00780186	0.00516987	0.01041726
Platystele minimiflora	0.00037854	0.00001839	0.00092654
Pleione chunii	0.00122238	0.00035524	0.00222138
Pleione formosana	0.00118604	0.00038493	0.00214869
Pleione forrestii	0.00375445	0.00198043	0.00557743
Bryobium eriaeoides	0.00039219	0.00001359	0.00092550
Bulbophyllum aggregatum	0.00200618	0.00083061	0.00327648
Pleurothallis rowleei	0.00018192	0.00000001	0.00060004
Bulbophyllum alveatum	0.00139627	0.00052032	0.00240284
Plocoglottis borneensis	0.00020451	0.00000603	0.00055507
Plocoglottis copelandii	0.00016193	0.00000003	0.00051155
Podochilus khasianus	0.00023586	0.00000127	0.00064763
Pogonia ophioglossoides	0.00076902	0.00005466	0.00154428
Polystachya acuminata	0.03179323	0.02499496	0.03883238
Polystachya albescens	0.00039646	0.00002621	0.00092319
Polystachya bicalcarata	0.00141446	0.00047712	0.00247232
Bulbophyllum analamazoatrae	0.00057715	0.00002457	0.00124972
Polystachya caespitifica	0.00018314	0.00000103	0.00055919
Polystachya canaliculata	0.03147022	0.02434008	0.03805468
Polystachya caudata	0.00592833	0.00373693	0.00834891
Polystachya cooperi	0.00633134	0.00396914	0.00873133
Polystachya disiformis	0.00613580	0.00389491	0.00852600
Polystachya doggettii	0.00036826	0.00001148	0.00089488
Polystachya eurygnatha	0.00797077	0.00535255	0.01071401
Polystachya fischeri	0.00542402	0.00330990	0.00757753
Polystachya geniculata	0.00738041	0.00487887	0.00992313
Polystachya gracilenta	0.00147789	0.00047398	0.00260617
Polystachya holstii	0.00665974	0.00434708	0.00909434
Polystachya isochiloides	0.00528376	0.00321988	0.00740784
Polystachya kupensis	0.03693040	0.02956471	0.04538225
Polystachya lacroixiana	0.03239433	0.02512341	0.03942268
Polystachya laurentii	0.00084251	0.00018950	0.00171253
Bulbophyllum anjozorobeense	0.00512687	0.00319032	0.00727132
Polystachya longiscapa	0.00581627	0.00365236	0.00807686
Polystachya maculata	0.02892088	0.02257260	0.03576641
Polystachya mazumbaiensis	0.00559203	0.00356154	0.00783681
Polystachya modesta	0.00041797	0.00003553	0.00096293
Bulbophyllum ankylochele	0.00021558	0.00000088	0.00062291
Polystachya nyanzensis	0.00056340	0.00006567	0.00123944
Polystachya porphyrochila	0.02982951	0.02339890	0.03669187
