	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
0	Aa calceata																				DD	
1	Aa mandonii																				DD	
2	Aa matthewsii																				DD	
3	Acanthophippium sinense				EN																	
4	Achlydosa glandulosa																				LC	
5	Acianthera bicarinata													DD								
6	Acianthera chrysantha													LC								
7	Acianthera compressicaulis													EN								
8	Acianthera hondurensis														LC							
9	Acianthera malachantha													VU								
10	Acianthera saundersiana													LC								
11	Acianthera scalpricaulis													LC								
12	Acianthera tokachii													VU								
13	Acianthera variegata													EN								
14	Acianthera violacea													LC								
15	Acis autumnalis													LC								
16	Acis fabrei																		VU			
17	Acis longifolia																		LC			
18	Acis nicaeensis											EN							EN			
19	Acis rosea																		LC			
20	Acis valentina																		EN			
21	Aerangis flexuosa																		EN			
22	Aerangis gracillima																		LC			
23	Aerangis hyaloides																			VU		
24	Aerangis macrocentra																NT					
25	Aerangis megaphylla																		CR			
26	Aerangis monantha																			EN		
27	Aerangis pallidiflora																			VU		
28	Aerangis punctata																			NT		
29	Aerangis seegeri																			VU		
30	Aeranthes africana																				CR	
31	Aeranthes albidiflora															CR						
32	Aeranthes angustidens																			VU		
33	Aeranthes antennophora															EN						
34	Aeranthes carnosa													VU					DD			
35	Aeranthes denticulata																			VU		
36	Aeranthes ecalcarata															LC						
37	Aeranthes leandriana															CR						
38	Aeranthes moratii															DD						
39	Aeranthes multinodis															CR						
40	Aeranthes neoperrieri															EN						
41	Aeranthes parkesii																				CR	
42	Aeranthes polyanthemus																			EN		
43	Aeranthes schlechteri															VU				VU		
44	Aeranthes setipes															EN						
45	Aeranthes strangulata																			VU		
46	Aeranthes tropophila													VU					EN			
47	Aerides lawrenciae				EN																	
48	Aerides leeanum				VU																	
49	Agave abisaii																			EN		
50	Agave aktites																				VU	
51	Agave albomarginata																			EN		
52	Agave albopilosa																			CR		
53	Agave americana																			LC		
54	Agave andreae																			VU		
55	Agave angustiarum																			LC		
56	Agave angustifolia																			LC		
57	Agave applanata																			LC		
58	Agave arcedianoensis																			VU		
59	Agave asperrima																			LC		
60	Agave atrovirens																			LC		
61	Agave attenuata																			LC		
62	Agave aurea																			LC		
63	Agave avellanidens																			NT		
64	Agave azurea																			VU		
65	Agave boldinghiana																			VU		
66	Agave bovicornuta																			VU		
67	Agave bracteosa																		LC			
68	Agave breedlovei																			DD		
69	Agave cacozela																			EN		
70	Agave capensis																			EN		
71	Agave caymanensis														EN							
72	Agave cerulata																			LC		
73	Agave chazaroi																			VU		
74	Agave chiapensis																			VU		
75	Agave chrysantha																				LC	
76	Agave chrysoglossa																			LC		
77	Agave cocui																				LC	
