status_change	rate_0	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10	rate_11	rate_12	rate_13	rate_14	rate_15	rate_16	rate_17	rate_18	rate_19	rate_20	rate_21	rate_22	rate_23	rate_24	rate_25	rate_26	rate_27	rate_28	rate_29	rate_30	rate_31	rate_32	rate_33	rate_34	rate_35	rate_36	rate_37	rate_38	rate_39	rate_40	rate_41	rate_42	rate_43	rate_44	rate_45	rate_46	rate_47	rate_48	rate_49	rate_50	rate_51	rate_52	rate_53	rate_54	rate_55	rate_56	rate_57	rate_58	rate_59	rate_60	rate_61	rate_62	rate_63	rate_64	rate_65	rate_66	rate_67	rate_68	rate_69	rate_70	rate_71	rate_72	rate_73	rate_74	rate_75	rate_76	rate_77	rate_78	rate_79	rate_80	rate_81	rate_82	rate_83	rate_84	rate_85	rate_86	rate_87	rate_88	rate_89	rate_90	rate_91	rate_92	rate_93	rate_94	rate_95	rate_96	rate_97	rate_98	rate_99
LC->NT	0.00016590	0.00018283	0.00034380	0.00031719	0.00005064	0.00017829	0.00024658	0.00004300	0.00062721	0.00029994	0.00022266	0.00037802	0.00006606	0.00030102	0.00034242	0.00005685	0.00048299	0.00036484	0.00032400	0.00040308	0.00049111	0.00060090	0.00009555	0.00011641	0.00029671	0.00024734	0.00020841	0.00044245	0.00059971	0.00034686	0.00017469	0.00014657	0.00021093	0.00076392	0.00014130	0.00018794	0.00011143	0.00017069	0.00033328	0.00050276	0.00014791	0.00020918	0.00029303	0.00060080	0.00026602	0.00046014	0.00082992	0.00029535	0.00030679	0.00020064	0.00033699	0.00048301	0.00004811	0.00033827	0.00035616	0.00074788	0.00013407	0.00009706	0.00023448	0.00011690	0.00044553	0.00027732	0.00064884	0.00016003	0.00050557	0.00026455	0.00050740	0.00056402	0.00012860	0.00022719	0.00037992	0.00013670	0.00009548	0.00031398	0.00009726	0.00019402	0.00022096	0.00038611	0.00028208	0.00013960	0.00040888	0.00027088	0.00002463	0.00026146	0.00045068	0.00044608	0.00024125	0.00050118	0.00006527	0.00057411	0.00054174	0.00011580	0.00041497	0.00035113	0.00041865	0.00050812	0.00011259	0.00009889	0.00052721	0.00012300
LC->VU	0.00117883	0.00064674	0.00051659	0.00038675	0.00031298	0.00110305	0.00032755	0.00145809	0.00059674	0.00030653	0.00044469	0.00036217	0.00028312	0.00001284	0.00053668	0.00012886	0.00036983	0.00064989	0.00013128	0.00046033	0.00056228	0.00021865	0.00036037	0.00032147	0.00003451	0.00034357	0.00027785	0.00086275	0.00018548	0.00034713	0.00016574	0.00046972	0.00059178	0.00063441	0.00017009	0.00070764	0.00011588	0.00037009	0.00087488	0.00008274	0.00017573	0.00029300	0.00061394	0.00018300	0.00041524	0.00080467	0.00055620	0.00032750	0.00020543	0.00017710	0.00047546	0.00053577	0.00020927	0.00029926	0.00020032	0.00020485	0.00133306	0.00029952	0.00049062	0.00046762	0.00062075	0.00073490	0.00040031	0.00037200	0.00013296	0.00047716	0.00030840	0.00040902	0.00023612	0.00062769	0.00031555	0.00048326	0.00025151	0.00044960	0.00035483	0.00039255	0.00107344	0.00023449	0.00044756	0.00014653	0.00052910	0.00058345	0.00057227	0.00079083	0.00015360	0.00093150	0.00054562	0.00059958	0.00024814	0.00020954	0.00037658	0.00084697	0.00025695	0.00062079	0.00053944	0.00054282	0.00096405	0.00061870	0.00050985	0.00067396
LC->EN	0.00028059	0.00003514	0.00008095	0.00025613	0.00015904	0.00010149	0.00001940	0.00100273	0.00034499	0.00002964	0.00025857	0.00025363	0.00017837	0.00010628	0.00026355	0.00013730	0.00022601	0.00100325	0.00020181	0.00043281	0.00053934	0.00014068	0.00036965	0.00020443	0.00016699	0.00000837	0.00033038	0.00003108	0.00029470	0.00026196	0.00033066	0.00017282	0.00053621	0.00027773	0.00020868	0.00010666	0.00015353	0.00046929	0.00074327	0.00063301	0.00047958	0.00006208	0.00003567	0.00000704	0.00009586	0.00004564	0.00004916	0.00029724	0.00022101	0.00007042	0.00011861	0.00089974	0.00032631	0.00013019	0.00006457	0.00047560	0.00037223	0.00023592	0.00017707	0.00014086	0.00055776	0.00051918	0.00019844	0.00009942	0.00019966	0.00017499	0.00019204	0.00002392	0.00026735	0.00016342	0.00019153	0.00016623	0.00025555	0.00012867	0.00031228	0.00039952	0.00029288	0.00023186	0.00008172	0.00023371	0.00068657	0.00039992	0.00001447	0.00038015	0.00021406	0.00053251	0.00009310	0.00022449	0.00059774	0.00008830	0.00019446	0.00027387	0.00004760	0.00018190	0.00083047	0.00032354	0.00041679	0.00030180	0.00016996	0.00060466
LC->CR	0.00016555	0.00019607	0.00026187	0.00028804	0.00023175	0.00025391	0.00001454	0.00001077	0.00007886	0.00041181	0.00033009	0.00002585	0.00044172	0.00009620	0.00010043	0.00024329	0.00002077	0.00030398	0.00011519	0.00003405	0.00006058	0.00037060	0.00012616	0.00007358	0.00028529	0.00000691	0.00044278	0.00048672	0.00031578	0.00015010	0.00003661	0.00002171	0.00005693	0.00016467	0.00006478	0.00015376	0.00014402	0.00042463	0.00030702	0.00007518	0.00003152	0.00010668	0.00002398	0.00003124	0.00024786	0.00000436	0.00003323	0.00025118	0.00001982	0.00001667	0.00009878	0.00023197	0.00005103	0.00032872	0.00019763	0.00008899	0.00005695	0.00014320	0.00016368	0.00005228	0.00006788	0.00009154	0.00011893	0.00002680	0.00013158	0.00030709	0.00009593	0.00042394	0.00009777	0.00014869	0.00004483	0.00004936	0.00031666	0.00034753	0.00006757	0.00006159	0.00013364	0.00000760	0.00024642	0.00002633	0.00008967	0.00010332	0.00083615	0.00009361	0.00069484	0.00046655	0.00000625	0.00054329	0.00002421	0.00011054	0.00010350	0.00013968	0.00001300	0.00006240	0.00047514	0.00053629	0.00001353	0.00021232	0.00014052	0.00001740
LC->DD	0.00056638	0.00029857	0.00047328	0.00032487	0.00075898	0.00019213	0.00028711	0.00041329	0.00023704	0.00030511	0.00014737	0.00024978	0.00061334	0.00088348	0.00039695	0.00026607	0.00020054	0.00013753	0.00079728	0.00052461	0.00046687	0.00053245	0.00048741	0.00093871	0.00051525	0.00006963	0.00007822	0.00052169	0.00076596	0.00063085	0.00039147	0.00051071	0.00062961	0.00066534	0.00026008	0.00055312	0.00063547	0.00031447	0.00009229	0.00040854	0.00063674	0.00044783	0.00041266	0.00020547	0.00057602	0.00074801	0.00046400	0.00047901	0.00015323	0.00013607	0.00136225	0.00065611	0.00071655	0.00052554	0.00043508	0.00026171	0.00065165	0.00039615	0.00028305	0.00044227	0.00083999	0.00031420	0.00023490	0.00027497	0.00096011	0.00076397	0.00020413	0.00041432	0.00036283	0.00047028	0.00078652	0.00070498	0.00044553	0.00025237	0.00094491	0.00049822	0.00017711	0.00054775	0.00041452	0.00015634	0.00024691	0.00068652	0.00090617	0.00025107	0.00084486	0.00016062	0.00050577	0.00089815	0.00059644	0.00013977	0.00040109	0.00037943	0.00062724	0.00012206	0.00024464	0.00042200	0.00026175	0.00006914	0.00057016	0.00033937
NT->LC	0.00248698	0.00423622	0.00236787	0.00147993	0.00142312	0.00212721	0.00480416	0.00324416	0.00211805	0.00285792	0.00311591	0.00237700	0.00384928	0.00303262	0.00231523	0.00434194	0.00272938	0.00139150	0.00238078	0.00085938	0.00085921	0.00238777	0.00639480	0.00342452	0.00326032	0.00282139	0.00473618	0.00118171	0.00346879	0.00170129	0.00338457	0.00041431	0.00273331	0.00250526	0.00232446	0.00236062	0.00412933	0.00092473	0.00241420	0.00133701	0.00216157	0.00049251	0.00333036	0.00411645	0.00578508	0.00292017	0.00329224	0.00110708	0.00462960	0.00418788	0.00865259	0.00275295	0.00193843	0.00224278	0.00329976	0.00171429	0.00492274	0.00070527	0.00600450	0.00556837	0.00108880	0.00305439	0.00254386	0.00260111	0.00428405	0.00148556	0.00165589	0.00301314	0.00300549	0.00233564	0.00508435	0.00332966	0.00284392	0.00173333	0.00194387	0.00221354	0.00237499	0.00222796	0.00365776	0.00681666	0.00161446	0.00255639	0.00285980	0.00266754	0.00341632	0.00110544	0.00216982	0.00157044	0.00430464	0.00191730	0.00291217	0.00422763	0.00401786	0.00167931	0.00164747	0.00256887	0.00125772	0.00197726	0.00080622	0.00412060
NT->VU	0.00228046	0.00773930	0.00168591	0.00889536	0.00494181	0.00196844	0.00609454	0.00470095	0.00198093	0.00267990	0.00296853	0.00558462	0.00263417	0.00156086	0.00090766	0.00280505	0.00281526	0.00354730	0.00431281	0.00209752	0.00341318	0.00410919	0.00134242	0.00115649	0.00524936	0.00184290	0.00702045	0.00533759	0.00217741	0.00394623	0.00150251	0.00513879	0.00080082	0.00577565	0.00140917	0.00275626	0.01027630	0.00148831	0.00509677	0.00197616	0.00246689	0.00498155	0.00339726	0.00617228	0.00251571	0.00253592	0.00265101	0.00149403	0.00611699	0.00546999	0.00399865	0.00284416	0.00347386	0.00159410	0.00591114	0.00104209	0.00755593	0.00130803	0.00098935	0.00486140	0.00063804	0.00262032	0.00082688	0.00256647	0.00207124	0.00207547	0.00519822	0.00374555	0.00098663	0.00142541	0.00165323	0.00233664	0.00333830	0.00434253	0.00180047	0.00185970	0.00425367	0.00179123	0.00300863	0.00289278	0.00500967	0.00288732	0.00179117	0.00264678	0.00120554	0.00097930	0.00163918	0.00957935	0.00269778	0.00446073	0.00257710	0.00473392	0.00063323	0.00724060	0.00697825	0.00540381	0.00614799	0.00709464	0.00319061	0.00199596
NT->EN	0.00043007	0.00094444	0.00074917	0.00657724	0.00307629	0.00024982	0.00000369	0.00008449	0.00735985	0.00017583	0.00120758	0.00149645	0.00082275	0.00125299	0.00046181	0.00135939	0.00035622	0.00191470	0.00055763	0.00398945	0.00339186	0.00133208	0.00194980	0.00164629	0.00127840	0.00043319	0.00029532	0.00088131	0.00064351	0.00153462	0.00055341	0.00022847	0.00087162	0.00104083	0.00179828	0.00030164	0.00012645	0.00188179	0.00251984	0.00004971	0.00088794	0.00316767	0.00172967	0.00129181	0.00037112	0.00103386	0.00054973	0.00153664	0.00060031	0.00160559	0.00096493	0.00275131	0.00178116	0.00013168	0.00250958	0.00212049	0.00064455	0.00072324	0.00016609	0.00064290	0.00151860	0.00125473	0.00143173	0.00062239	0.00030651	0.00183935	0.00486785	0.00307309	0.00009320	0.00035307	0.00076476	0.00026058	0.00115080	0.00062104	0.00373265	0.00159729	0.00026571	0.00135667	0.00118850	0.00213328	0.00093223	0.00052808	0.00013829	0.00093945	0.00419989	0.00062889	0.00177992	0.00052648	0.00125552	0.00295201	0.00102556	0.00003706	0.00118336	0.00087059	0.00166581	0.00232376	0.00002719	0.00136806	0.00287011	0.00121711
NT->CR	0.00112469	0.00174995	0.00097840	0.00335704	0.00114481	0.00009304	0.00015730	0.00208079	0.00000059	0.00003403	0.00110677	0.00088307	0.00201573	0.00055210	0.00107516	0.00085537	0.00299743	0.00031496	0.00080793	0.00147421	0.00031697	0.00038565	0.00093697	0.00001247	0.00082130	0.00178084	0.00131459	0.00129240	0.00152151	0.00189931	0.00134283	0.00032847	0.00106465	0.00112542	0.00008415	0.00001995	0.00076004	0.00295854	0.00113041	0.00083344	0.00183943	0.00125762	0.00022489	0.00012184	0.00000048	0.00010580	0.00058059	0.00048719	0.00000323	0.00040842	0.00016550	0.00029417	0.00066109	0.00221520	0.00038919	0.00071363	0.00026332	0.00216451	0.00223910	0.00062589	0.00141373	0.00107619	0.00000179	0.00211902	0.00096102	0.00017591	0.00029943	0.00030452	0.00080955	0.00133863	0.00002890	0.00141748	0.00029705	0.00078577	0.00072165	0.00154967	0.00026088	0.00172514	0.00105244	0.00163525	0.00029119	0.00095168	0.00119045	0.00033224	0.00079223	0.00127571	0.00162821	0.00004442	0.00329099	0.00013601	0.00068360	0.00001531	0.00239356	0.00251060	0.00049245	0.00039619	0.00012395	0.00024781	0.00027248	0.00028172
NT->DD	0.00361517	0.00042829	0.00065671	0.00026993	0.00542880	0.00045162	0.00065230	0.00251177	0.00100576	0.00002610	0.00500295	0.00061355	0.00108601	0.00036908	0.00038696	0.00145283	0.00013533	0.00093668	0.00011471	0.00225305	0.00015035	0.00033841	0.00002615	0.00010137	0.00295687	0.00011114	0.00187210	0.00030130	0.00006627	0.00243926	0.00062380	0.00080377	0.00023387	0.00042769	0.00036520	0.00007913	0.00110324	0.00129901	0.00087299	0.00004039	0.00194162	0.00107097	0.00031780	0.00193481	0.00085378	0.00026022	0.00360588	0.00196455	0.00052142	0.00210003	0.00216974	0.00251507	0.00054909	0.00195325	0.00064346	0.00057197	0.00027146	0.00053643	0.00118156	0.00075253	0.00076055	0.00229886	0.00044688	0.00001113	0.00125785	0.00097859	0.00014112	0.00170981	0.00363638	0.00089925	0.00041640	0.00087077	0.00015255	0.00261043	0.00513805	0.00311688	0.00421479	0.00046704	0.00036324	0.00002644	0.00329243	0.00002244	0.00181169	0.00000893	0.00014650	0.00221022	0.00426560	0.00397042	0.00496828	0.00081186	0.00001797	0.00041445	0.00144878	0.00197072	0.00192981	0.00028604	0.00119734	0.00149496	0.00021090	0.00095028
