year	LC	NT	VU	EN	CR	EX
0	457	59	126	249	98	0
1	457	59	126	248	94	5
2	457	59	126	247	91	9
3	456	59	126	246	88	14
4	456	58	127	245	85	18
5	456	58	127	244	82	22
6	456	58	127	243	79	26
7	456	58	127	242	76	31
8	456	58	127	240	73	35
9	456	58	127	240	70	39
10	456	57	127	239	68	43
11	455	57	127	237	65	47
12	455	57	127	237	63	50
13	455	57	127	236	61	54
14	455	57	127	235	58	57
15	455	57	127	233	56	61
16	454	56	127	233	54	64
17	454	56	127	231	52	68
18	454	56	127	230	50	71
19	454	56	128	229	48	74
20	454	56	128	228	47	77
21	454	55	128	227	45	80
22	454	55	128	226	44	83
23	454	55	128	225	42	86
24	453	55	128	224	41	88
25	453	55	128	223	40	91
26	453	55	128	222	39	94
27	453	54	128	221	37	96
28	453	54	128	220	36	99
29	452	54	128	219	35	102
30	452	54	128	218	34	104
31	452	54	128	216	32	107
32	452	54	128	215	32	109
33	451	54	128	214	30	112
34	451	53	128	213	29	114
35	451	53	128	212	28	116
36	451	53	128	211	28	118
37	450	53	128	210	27	121
38	450	53	128	209	26	123
39	450	53	128	208	25	125
40	450	53	127	207	24	127
41	450	52	128	206	24	130
42	450	52	127	205	23	132
43	449	52	127	204	22	134
44	449	52	127	203	21	136
45	449	52	127	202	21	138
46	449	52	127	201	20	140
47	449	52	127	200	20	142
48	448	52	127	199	19	144
49	448	52	127	198	19	146
50	448	52	127	197	18	148
