Liparis ambohimangana	0.49			8.96							46.04	48.13						0.03								0.05	6.65			24.51						34.2					8.16		10.7		14.69						13.44					41.07				3.87					26.05	48.51	35.59																20.46																	48.39
Liparis bautingensis			3.7	21.86				28.67				5.08			33.41			40.36			24.92								48.04						10.33					32.27					44.11			16.99		23.57		47.26				13.37	8.69		37.51		0.62			31.07				43.52				3.67									27.31		3.23			0.85		10.76						45.55						
Liparis bulbophylloides				5.79					35.61											47.29																		18.22													25.49								26.49																										47.2															
Liparis glaucescens		38.23	32.28																																																																																				13.13													
Liparis goodyeroides	42.78	23.53	13.51	6.07	29.71	33.29		29.75	7.38	17.99	46.18	0.29	14.35	3.44	1.13	12.61	8.37	0.44	10.88	16.14	32.68	11.45	10.56	2.48	2.48		34.54	22.5	14.97	14.08	33.27	28.47	33.67	22.87	21.89	1.47	49.38			23.83	21.43		6.6	14.83		24.63	23.03	3.83	6.23			9.74	16.93			1.14	47.46	5.54	26.07	5.41	35.86	7.17	13.2	33.35			2.35	7.68	26.33	1.7	13.6	47.9	34.23	0.54	23.34	9.38	8.67		16.73	29.64	17.09	1.79	0.34	8.17	32.53	3.47	1.06	22.52	4.2	47.24			9.71	5.33	27.12	2.14		1.68		28.23
Liparis henrici				36.56																												23.76									48.73																																																											
Liparis longicaulis					42.43																																		20.21					26.03											44.09									21.19																					32.95															
Liparis longipetala																																																																																																				
Liparis petelotii																																																																																																				
Liparis philippinensis																																																																													44.7																		22.94					
Liparis puncticulata						48.12					14.32					42.36															27.72		44.54	13.29												38.68														35.55									36.68								40.04																							
Benthamia calceolata									31.75				32.03		9.78	2.09			28.32	14.86						23.76				26.21										13.18				32.41							29.98			22.01				37.94								46.03						3.06							19.44	35.0	23.23		20.77		5.53				27.04				31.81	1.1						26.63
Liparis swenssonii																																								45.08																																																												
Benthamia elata				12.68	29.96	9.95				38.04	40.07			3.47		9.52				18.38								22.39										34.79				7.81	42.19		31.67														41.2										25.24	31.32					3.73								38.64				32.08				31.29			17.36	10.43	35.0				
Benthamia glaberrima					31.79				45.47		26.02																																																																						46.33																			
Lueddemannia pescatorei																	15.63																																																																																			
Benthamia humbertii	21.53			48.76		18.55			15.91				32.84					28.16								38.71			26.64		48.78			6.55		26.2			15.09	27.83			37.5				10.78	14.04		34.69					27.8			36.35		8.69	48.67		0.25		15.55	16.6				33.17								33.58		35.5				13.68										10.02				10.2		
Macradenia paraensis																																																																																																				
Benthamia monophylla																					43.61																																															46.02																																
Benthamia nigrescens				33.88			19.03		16.7					24.52					1.04	16.03									1.49												1.19			28.51	9.81			13.82								0.59									4.3						15.64	5.1		35.88	16.11		3.23													37.34	32.06	5.54		11.39			42.62		15.5	39.41
Malaxis bayardii			0.11		2.78	20.99		21.97	39.3		6.43	8.39	16.5	22.24		36.81			21.25	34.15	15.26		16.3	48.09	28.41	22.28	6.44		17.61	19.63			1.59	15.05		2.42	7.65	3.88		3.29	20.92					8.5	2.77	28.83			13.45	9.22		7.83	10.75	8.22			6.99		3.57		2.87	37.13	10.99	22.71	47.58	28.79	11.58		6.62	48.14	25.33	0.31	25.63	4.01	14.43	9.19	10.59	1.79	6.43	8.62	12.58	12.63	13.6		34.1	6.41	2.0	30.88		10.27	2.33	13.14		11.26	26.83	37.13		16.73
Malaxis brachystachys																					18.53																																																											17.7																				
Benthamia nivea		33.19						7.62							47.3	39.94					0.26		25.56				27.73		17.53							43.31		40.82																	13.65				5.33				7.54				10.27							26.33				33.75						43.08								2.58								
Benthamia perularioides														25.75								36.47									29.18																				28.79														32.3	26.52																				32.82													6.88	
Malaxis javesiae																																																					44.93																																															
Benthamia praecox							40.87			30.36			2.91					3.03		31.15		0.65		11.78	22.72		35.0						36.87	1.51													41.47																			10.95	13.98															11.85							46.41	40.14			20.07						10.2	
Malaxis lepanthiflora																																																														27.71						48.33																																
Benthamia procera	15.18	18.83	0.76	31.02			20.24		41.28															40.04																			22.0	4.48	6.35		43.66						11.35								18.92			25.66			35.74		35.83				13.4							25.43		32.21		18.22				41.32		21.05	5.89	8.09					33.9			
Benthamia rostrata	40.5	21.29																		3.09			24.32	18.48				40.27					13.37																			9.11	38.94			8.0																		9.86				9.38			16.9	15.4			21.6								9.44	1.65			29.04			
Malaxis muscifera								45.07										10.51	28.23																											8.07			29.1																30.38	42.51				16.1																														
Malaxis wendtii											45.81														10.01																									20.77																	21.43						25.51																											
Masdevallia notosibirica																	39.38							20.5												18.21		43.29				30.02																																	43.77																	41.85								
Masdevallia strumifera																																																																																																				
Maxillaria angustisegmenta					20.48																																																																																															
Bletia ensifolia																																																																																																				
Microcoelia bulbocalcarata																																																																																																				
Brachionidium dressleri								41.8		25.83		43.39		14.27			27.43					4.13	22.08	46.71					44.73											5.14		18.57										28.6				37.8	16.25										46.29			24.76	5.72			32.33		21.98		29.86	46.06			42.7				23.79						35.92								9.9
Myrmecophila thomsoniana							44.06	32.96								36.3			16.95			20.09	29.29												2.29				29.06					32.02		11.84	47.0							21.43	39.41			24.87	19.51					1.55			33.51			8.31				44.72				2.39	14.25			31.08		0.06									46.93			12.58			34.06	5.6
Mystacidium nguruense	22.87	19.4		38.05	24.82	44.94	40.02	18.62	15.54	9.21		4.14	38.25			0.63			5.02	0.34	24.15	45.33	46.13		40.13	16.62	30.72	8.02	49.19	32.89	9.42	30.8		32.4	19.57	16.5		21.04			0.72	4.7	20.96	1.53	0.52	5.89	3.67	0.17	10.32	6.42	18.42	3.92	5.19	23.43	15.8		8.32	19.61	22.8	2.24	37.54		2.58	8.05	31.78	0.68	0.54			33.93	4.71	31.74		12.2		0.89	18.33	41.12	23.25	8.05		30.36		42.12	48.77	4.42	14.78	0.36	11.81		10.45	10.67	2.96	5.25	10.2	40.38		11.66	6.9	9.11
Mystacidium pulchellum				34.13	8.69							15.28				2.09		28.69	0.58							36.17			8.67				36.28								14.46		26.03			25.47	28.28			42.44					29.29						8.7												26.26	6.4							7.81		25.34					44.1							20.26				2.84	
Neobolusia ciliata			4.21					1.59			4.37		47.36		10.84			10.71			22.78		49.28	32.18												12.65	24.68				5.94		44.2	28.63				15.83									9.65	3.2		6.19			34.57											47.57							45.94			6.93			47.44			25.14		31.88		10.33					36.33	
Neottia acuminata																																																																																																				
Neottia cordata																																			28.53																																																																	
Neottia nidus-avis																																																																																																				
Brachionidium pteroglossum			29.02		35.53	10.78	30.02		34.67	10.93	33.13	19.23	35.5		27.93	17.83	22.24	13.9		1.39	48.76	11.04	5.6	11.94	7.07	47.34	16.61	34.54	30.6	17.86	2.91	10.34				24.25	18.0	19.64	26.2	10.81	0.85			40.46	16.75		20.73				24.59	14.28	2.89		13.6	1.09	23.92	24.06	32.33	29.99	25.16	24.61	22.73	7.13	18.42	0.76	10.44	6.31		38.28	37.45	33.57		14.33	9.25	4.82	13.73	13.52	23.89		36.69		38.19		39.82	29.15	4.84	17.55	12.18	4.12		5.7		8.51		16.59				3.02
Brachycorythis disoides								26.52	43.11																30.92																																	9.48			6.07														37.56			4.44																				39.87		
Oeceoclades maculata																																																																																																				
Oeonia brauniana															12.61		38.41																																						32.15		20.56												23.35																															
